sample,species,repDBtaxon,RepDBnotes,remainsUncertain,manualMatch,manualNotes
MVZ_Herp_177806,Abronia_fuscolabialis,Abronia fuscolabialis,exact mapping via accepted,FALSE,,
MVZ_Herp_164922,Abronia_martindelcampoi,Abronia martindelcampoi,exact mapping via accepted,FALSE,,
MVZ_Herp_191074,Abronia_taeniata,Abronia taeniata,exact mapping via accepted,FALSE,,
TJC1385,Acanthocercus_guentherpetersi,Acanthocercus guentherpetersi,exact mapping via accepted,FALSE,,
MVZ_Herp_236579,Acanthodactylus_arabicus,Acanthodactylus arabicus,exact mapping via accepted,FALSE,,
lsuhc9351,Acanthosaura_armata,Acanthosaura armata,exact mapping via accepted,FALSE,,
FMNH262964,Acanthosaura_coronata,Acanthosaura coronata,exact mapping via accepted,FALSE,,
MVZ_Herp_258141,Acanthosaura_nataliae,Acanthosaura nataliae,exact mapping via accepted,FALSE,,
UMFS_10937,Acrantophis_dumerili,Acrantophis dumerili,exact mapping via accepted,FALSE,,
NTMR16167,Acrochordus_arafurae,Acrochordus arafurae,exact mapping via accepted,FALSE,,
UMFS_11534,Acrochordus_granulatus,Acrochordus granulatus,exact mapping via accepted,FALSE,,
CAS_248605,Afrotyphlops_bibronii,Afrotyphlops bibronii,exact mapping via accepted,FALSE,,
MCZ_Herp_R190405,Afrotyphlops_schlegelii,Afrotyphlops schlegelii,exact mapping via accepted,FALSE,,
CAS_227496,Agama_lanzai,Agama lanzai,exact mapping via accepted,FALSE,,
NTMR17781,Aipysurus_duboisii,Aipysurus duboisii,exact mapping via accepted,FALSE,,
RAX4380,Alluaudina_bellyi,Alluaudina bellyi,exact mapping via accepted,FALSE,,
SAMAR50436,Amalosia_lesueurii,Amalosia lesueurii,exact mapping via accepted,FALSE,,
NTMR22764,Amalosia_rhombifer,Amalosia rhombifer,exact mapping via accepted,FALSE,,
GRCOLLI04330,Ameiva_parecis,Ameiva parecis,exact mapping via accepted,FALSE,,
CHUNB41169,Ameivula_jalapensis,Ameivula jalapensis,exact mapping via accepted,FALSE,,
CHUNB52160,Ameivula_mumbuca,Ameivula mumbuca,exact mapping via accepted,FALSE,,
CHUNB37333,Ameivula_ocellifera,Ameivula ocellifera,exact mapping via accepted,FALSE,,
CHUNB41099,Amerotyphlops_brongersmianus,Amerotyphlops brongersmianus,exact mapping via accepted,FALSE,,
CHUNB40084,Amerotyphlops_reticulatus,Amerotyphlops reticulatus,exact mapping via accepted,FALSE,,
FN256679,Amerotyphlops_tycherus,Amerotyphlops tycherus,exact mapping via accepted,FALSE,,
CHUNB52145,Amphisbaena_alba,Amphisbaena alba,exact mapping via accepted,FALSE,,
CHUNB38647,Amphisbaena_anaemariae,Amphisbaena anaemariae,exact mapping via accepted,FALSE,,
CHUNB56884,Amphisbaena_arenaria,Amphisbaena arenaria,exact mapping via accepted,FALSE,,
CHUNB52389,Amphisbaena_bedai,Amphisbaena bedai,exact mapping via accepted,FALSE,,
GRCOLLI22387,Amphisbaena_bilabialata,Amphisbaena bilabialata,exact mapping via accepted,FALSE,,
TMOTT241,Amphisbaena_brasiliana,Amphisbaena brasiliana,exact mapping via accepted,FALSE,,
TMOTT028,Amphisbaena_camura,Amphisbaena camura,exact mapping via accepted,FALSE,,
GRCOLLI20644,Amphisbaena_crisae,Amphisbaena crisae,exact mapping via accepted,FALSE,,
TMOTT204,Amphisbaena_cuiabana,Amphisbaena cuiabana,exact mapping via accepted,FALSE,,
CHUNB30676,Amphisbaena_kraoh,Amphisbaena kraoh,exact mapping via accepted,FALSE,,
TMOTT130,Amphisbaena_mertensii,Amphisbaena mertensii,exact mapping via accepted,FALSE,,
GRCOLLI06458,Amphisbaena_ridleyi,Amphisbaena ridleyi,exact mapping via accepted,FALSE,,
GRCOLLI22397,Amphisbaena_silvestrii,Amphisbaena silvestrii,exact mapping via accepted,FALSE,,
CHUNB57520,Amphisbaena_vermicularis,Amphisbaena vermicularis,exact mapping via accepted,FALSE,,
NMVD62105,Anepischetosia_maccoyi,Anepischetosia maccoyi,exact mapping via accepted,FALSE,,
UMFS_20594,Anilios_grypus,Anilios grypus,exact mapping via accepted,FALSE,,
CUMV_14302,Anilios_hamatus,Anilios hamatus,exact mapping via accepted,FALSE,,
WAMR146381,Anilios_howi,Anilios howi,exact mapping via accepted,FALSE,,
QMJ46128,Anilios_silvia,Anilios silvia,exact mapping via accepted,FALSE,,
UMMZ_244201_ra_wait,Anilios_waitii,Anilios waitii,exact mapping via accepted,FALSE,,
CHUNB73453,Anilius_scytale,Anilius scytale,exact mapping via accepted,FALSE,,
CAS_233823,Anniella_alexanderae,Anniella alexanderae,exact mapping via accepted,FALSE,,
MVZ_Herp_257729,Anniella_campi,Anniella campi,exact mapping via accepted,FALSE,,
CAS_234252,Anniella_grinnelli,Anniella grinnelli,exact mapping via accepted,FALSE,,
MVZ_Herp_228860,Anniella_stebbinsi,Anniella stebbinsi,exact mapping via accepted,FALSE,,
CHUNB51972,Anolis_brasiliensis,Anolis brasiliensis,exact mapping via accepted,FALSE,,
MVZ_Herp_263983,Anolis_campbelli,Anolis campbelli,exact mapping via accepted,FALSE,,
anolis_carolinensis_2,Anolis_carolinensis,Anolis carolinensis,exact mapping via accepted,FALSE,,
UMMZ_245025,Anolis_fuscoauratus,Anolis fuscoauratus,exact mapping via accepted,FALSE,,
GRCOLLI26899,Anolis_meridionalis,Anolis meridionalis,exact mapping via accepted,FALSE,,
