treename,ProcCoord1,ProcCoord2,ProcCoord3,ProcCoord4,ProcCoord5,ProcCoord6,ProcCoord7,ProcCoord8,ProcCoord9,ProcCoord10,ProcCoord11,ProcCoord12,ProcCoord13,ProcCoord14,ProcCoord15,ProcCoord16,ProcCoord17,ProcCoord18,ProcCoord19,ProcCoord20,ProcCoord21,ProcCoord22,ProcCoord23,ProcCoord24,ProcCoord25,ProcCoord26,ProcCoord27,ProcCoord28,ProcCoord29,ProcCoord30,ProcCoord31,ProcCoord32,ProcCoord33,ProcCoord34,ProcCoord35,ProcCoord36,ProcCoord37,ProcCoord38,ProcCoord39,ProcCoord40
Acrochordus_granulatus,-0.079813018,0.069306151,0.004806852,-0.042416166,0.052043017,0.009728096,0.125689228,0.069122762,0.244109571,0.028268143,0.25304929,0.00016785,0.40629326,-0.124450729,0.344027922,-0.132525985,0.100986193,0.000430223,0.042679911,-0.122996265,-0.146682922,0.026067977,0.016453944,0.093426449,0.216567855,-0.076090269,-0.333217251,-0.018138148,-0.351297245,-0.01082932,-0.351771489,-0.004535685,-0.234078684,0.048678164,-0.249427584,0.049475946,-0.186389997,0.057288127,0.125971148,0.080022678
Agama_agama,0.010138843,0.124510633,0.093955082,0.072961659,0.120530137,0.061087349,0.237009092,0.004198451,0.190235866,-0.018097269,0.186220834,-0.053338475,0.220676375,-0.110719225,0.174289346,-0.121187765,0.167374077,0.007416505,0.019152744,-0.096765862,-0.087428246,0.035273384,0.064426869,0.131266184,0.226180887,-0.039373728,-0.340740537,-0.066402044,-0.351240828,-0.078343577,-0.360754875,-0.069970229,-0.276017298,0.020379394,-0.298496425,0.01681866,-0.170477924,0.087988903,0.17496598,0.092297053
Bronchocela_jubata,0.024634839,0.125845853,0.105137533,0.043054337,0.148463675,0.06070614,0.237055101,0.000642908,0.224907068,-0.007836058,0.193406862,-0.047797319,0.195577176,-0.093531066,0.165743508,-0.101863073,0.174507176,-0.00285667,-0.00269809,-0.101590986,-0.050578167,0.028310245,0.074220937,0.126062402,0.210990926,-0.04079848,-0.360348065,-0.055672205,-0.363065887,-0.054940047,-0.374801608,-0.051281467,-0.270552475,0.001020953,-0.302487663,-0.010050684,-0.159840898,0.074219618,0.12972805,0.1083556
Calotes_emma,0.006304166,0.117734633,0.095791339,0.063989329,0.131071998,0.063569929,0.227557834,0.008078037,0.21940333,-0.013284755,0.197954895,-0.054617079,0.221757522,-0.112169592,0.188359686,-0.112946078,0.169786318,0.00124064,0.045950733,-0.089673306,-0.081426604,0.020310966,0.040352158,0.128363203,0.208829574,-0.062065848,-0.366085716,-0.062569454,-0.370335076,-0.06210616,-0.377912891,-0.059343514,-0.245991269,0.022441724,-0.291951564,0.005531949,-0.143174206,0.079710978,0.123757774,0.117804398
Draco_quinquefasciatus,0.037142828,0.109369496,0.105721916,0.053602888,0.145306115,0.056491253,0.221025437,0.005315021,0.209567623,-0.004161798,0.193951271,-0.051717215,0.211898626,-0.096572366,0.177650562,-0.103288016,0.157976748,-0.0158024,0.014428481,-0.086606403,-0.081743997,0.03796423,0.051963972,0.139170801,0.225478377,-0.054949514,-0.351756755,-0.070569278,-0.355638424,-0.067303811,-0.380319531,-0.063995648,-0.254733695,0.023241055,-0.304159611,-0.00775879,-0.168540307,0.102278583,0.144780362,0.095291912
Hydrosaurus_pustulatus,0.012150151,0.116547174,0.099662993,0.050310493,0.130764891,0.057287413,0.221323643,0.016952251,0.212102653,-0.011866723,0.192803968,-0.051871142,0.21528891,-0.111164613,0.172111264,-0.120523969,0.152331422,-0.025360664,0.035128764,-0.099568878,-0.075844839,0.025536762,0.060152435,0.139617884,0.216110499,-0.034341273,-0.351574867,-0.060745366,-0.354152797,-0.058890258,-0.364307651,-0.054973047,-0.273351086,0.01369945,-0.329050463,-0.001226348,-0.127505827,0.082006189,0.155855937,0.128574666
Leiolepis_belliana,0.02602276,0.120106957,0.077129264,0.04739754,0.106253744,0.063046,0.233082279,0.017637904,0.237164306,-0.014405221,0.198116483,-0.04150641,0.210430111,-0.109270558,0.182790018,-0.108468672,0.16714471,-0.004854126,-0.01367229,-0.062096501,-0.078898708,0.030870835,0.105408692,0.117310708,0.215592717,-0.06280005,-0.321161474,-0.072066949,-0.348643244,-0.064534932,-0.363669613,-0.074080279,-0.272080721,0.027317864,-0.309455787,0.010386713,-0.192542666,0.07155134,0.140989419,0.108457833
Leiolepis_guttata,-0.031142606,0.114024965,0.078739699,0.04914369,0.125620168,0.059996141,0.243162208,0.017190329,0.23689661,0.008047217,0.200845937,-0.03484499,0.206110116,-0.099437053,0.17648034,-0.105553274,0.159523482,-0.021632578,-0.029729041,-0.082235103,-0.066576534,0.019703464,0.101662348,0.115747821,0.230658153,-0.054631202,-0.330635895,-0.049198458,-0.3437412,-0.053153735,-0.358956862,-0.052570941,-0.264630476,0.012151416,-0.310437679,-0.003365362,-0.183283378,0.065030629,0.159434607,0.095587026
Lophosaurus_boydii,0.003736242,0.111972103,0.07969483,0.043132901,0.14581096,0.056217538,0.212892907,0.029399909,0.224994128,-0.011381234,0.21855692,-0.049225993,0.250189588,-0.111079508,0.208300819,-0.117103718,0.146862547,-0.016294994,0.009007946,-0.089482874,-0.09596605,0.029036881,0.073410337,0.109349803,0.198396053,-0.040289854,-0.330533204,-0.062137088,-0.336853636,-0.062959078,-0.351943204,-0.040903242,-0.282164827,0.01972051,-0.311678381,0.015137924,-0.186135345,0.083677325,0.123421368,0.10321269
Moloch_horridus,0.007442705,0.15067048,0.099082383,0.081602419,0.138233644,0.072315152,0.228140857,0.02836101,0.200594365,-0.02943459,0.166598561,-0.049564194,0.17874299,-0.147426872,0.138389082,-0.158786389,0.121295216,-0.021793174,-0.053048633,-0.119850058,-0.115886558,0.015728042,0.101162382,0.175473755,0.300393479,-0.023140206,-0.311086815,-0.090780602,-0.315268849,-0.092100444,-0.328662308,-0.094552664,-0.270850987,0.04838034,-0.327368372,0.003073799,-0.144705515,0.126756766,0.186802373,0.125067429
Physignathus_cocincinus,0.036090468,0.134202238,0.080878503,0.051904232,0.117016685,0.063343834,0.217234007,0.037054746,0.214222913,-0.012859959,0.191078113,-0.053877384,0.202552724,-0.103838392,0.162331619,-0.104457275,0.155505225,-0.011991304,0.015768603,-0.103619492,-0.074388214,0.033412679,0.107458284,0.129423558,0.231070767,-0.06531849,-0.317870963,-0.072680377,-0.323780715,-0.069598064,-0.37007231,-0.063290421,-0.298335668,0.022700253,-0.334786768,-0.005045387,-0.174618302,0.097642232,0.162645028,0.096892772
Pogona_vitticeps,-0.014322175,0.105196268,0.069936066,0.051425385,0.102060768,0.05933753,0.254962897,0.027151498,0.242446552,0.000526186,0.224546143,-0.06134196,0.248920253,-0.103414786,0.196899646,-0.118173837,0.160620229,0.002717659,0.008551669,-0.088602186,-0.098509001,0.01746822,0.025437978,0.113938959,0.188666838,-0.04723109,-0.337983384,-0.051449174,-0.344974635,-0.050874806,-0.354785786,-0.047079857,-0.268379944,0.017498053,-0.294229266,0.012654651,-0.165410101,0.075936851,0.155545254,0.084316436
Saara_hardwickii,0.023342371,0.117168237,0.100164959,0.068789313,0.142163441,0.077538019,0.187594036,0.071300988,0.241328962,-0.02980084,0.191029548,-0.037774408,0.168627574,-0.110105755,0.12685209,-0.119623503,0.174696651,0.015834337,-0.041651064,-0.092503848,-0.115117454,0.03279631,0.141962692,0.108526218,0.209653062,-0.066703345,-0.340386715,-0.122222318,-0.348794812,-0.121719751,-0.372302383,-0.095548324,-0.23847671,0.0652607,-0.303216826,0.047170271,-0.156004592,0.101116395,0.208535171,0.090501306
Amphisbaena_alba,-0.126857216,0.080717962,0.121539816,-0.023027966,0.166752006,0.030650395,0.275521295,0.069936179,0.235174362,-0.05610293,0.172031794,-0.073847982,0.128521471,-0.108149382,0.110724896,-0.081395942,0.228354635,0.012438858,-0.115624043,-0.012897692,-0.129123782,0.043555378,0.104145608,0.112673754,0.35028902,0.004018551,-0.274748979,-0.050234089,-0.280313455,-0.050448663,-0.338098105,-0.044918568,-0.292389624,-0.007611581,-0.325139773,-0.01873859,-0.194740043,0.070565664,0.183980119,0.102816643
Amphisbaena_darwinii,-0.099378211,0.107475696,0.041989867,0.002962223,0.216684621,0.00636857,0.305722027,0.041433621,0.226924308,-0.048362931,0.168634004,-0.052565795,0.106818058,-0.086185292,0.095189234,-0.0604184,0.182770945,0.005049414,-0.090298174,-0.040057876,-0.071449084,0.043767955,-0.003871061,0.13720064,0.391599049,-0.042581032,-0.283800695,-0.050004263,-0.290843613,-0.050940668,-0.346877168,-0.093220866,-0.294242834,-0.010728762,-0.334825489,-0.003688199,-0.143534091,0.105667682,0.222788309,0.088828286
Amphisbaena_fuliginosa,-0.097900024,0.092931156,0.078930977,-0.013858631,0.216676868,0.027556131,0.285654177,0.074542461,0.221085097,-0.042496445,0.147716518,-0.069828349,0.118544906,-0.112475012,0.100707558,-0.071662972,0.179175291,0.025053329,-0.106080817,-0.023422703,-0.112479155,0.037133016,0.121271286,0.111544845,0.367078209,-0.020246195,-0.278438307,-0.056308149,-0.287916706,-0.055210344,-0.33844344,-0.07466786,-0.302925172,-0.006379904,-0.336259949,-0.006996992,-0.175673065,0.083474197,0.199275745,0.10131842
Amphisbaena_kingii,-0.105491351,0.079935365,0.095671876,-0.002547539,0.193057972,0.008637822,0.306931999,0.075260998,0.2111782,-0.056067545,0.149368104,-0.065008267,0.107299863,-0.100121789,0.08598907,-0.073501843,0.176787454,-0.001495871,-0.071674655,-0.039425684,-0.084760445,0.019922863,-0.038339335,0.161491895,0.400742562,-0.033508759,-0.275586756,-0.044866874,-0.286633431,-0.060841463,-0.38199534,-0.047980225,-0.277263395,0.000773241,-0.360291645,-0.022036481,-0.086397272,0.077639883,0.241406523,0.123740273
Geocalamus_acutus,-0.127335031,0.081672963,0.068219413,-0.004362916,0.17957925,0.022262373,0.316661008,0.074525539,0.203100802,-0.054562968,0.146751108,-0.069307201,0.120668111,-0.106061386,0.095964566,-0.0784006,0.171406637,0.004800651,-0.052434872,-0.010081358,-0.103444339,0.041009938,-0.011809255,0.177952961,0.407351783,-0.073591129,-0.249269092,-0.044738659,-0.301103564,-0.077846417,-0.363825219,-0.045278811,-0.257960994,0.003401151,-0.336723476,-0.022888884,-0.160881015,0.063667076,0.255084179,0.117827677
Leposternon_microcephalum,-0.066497293,0.098000608,0.021514621,0.019175784,0.194683594,0.028179475,0.276866999,0.066762193,0.214647825,-0.058927868,0.16543094,-0.058646701,0.131247903,-0.111941834,0.108106183,-0.078082693,0.1736399,0.008044516,-0.090145968,-0.016688047,-0.069065052,0.039422282,-0.013857102,0.170536392,0.409222165,-0.084283307,-0.316528904,-0.059891065,-0.277370067,-0.081851615,-0.340877927,-0.041298477,-0.307686657,-0.03045127,-0.313226248,-0.018376109,-0.112639554,0.099013298,0.212534642,0.111304438
Amphisbaena_anaemariae,-0.113340214,0.078923412,0.066944225,-0.01745181,0.22681027,0.052332339,0.291772292,0.062896703,0.218867308,-0.033851498,0.156825963,-0.053263865,0.107343723,-0.089017022,0.092477877,-0.066470719,0.188163151,0.006535634,-0.065922307,-0.036327944,-0.086035566,0.031441145,0.073919247,0.12632297,0.344600652,-0.049219073,-0.290818879,-0.046307112,-0.294970462,-0.0800652,-0.373348272,-0.043314275,-0.284626892,-0.014604167,-0.337175713,-0.007792689,-0.148235183,0.077119145,0.226748781,0.102114025
Elgaria_multicarinata,-0.009592135,0.067533457,0.068465603,0.056011252,0.11697287,0.096162988,0.273922952,-0.004145354,0.25865054,-0.027059421,0.209494754,-0.043919549,0.181049335,-0.094982134,0.154738333,-0.085876066,0.20243994,0.029491772,-0.088834593,-0.065659254,-0.089688951,0.017838645,0.033444964,0.106139564,0.252657499,-0.054250358,-0.319504256,-0.04604568,-0.32400901,-0.045731575,-0.350547427,-0.0460804,-0.273918836,0.002971615,-0.318638328,-0.005997804,-0.156404777,0.05066681,0.179301524,0.092931494
Gerrhonotus_infernalis,-0.011333873,0.070938665,0.097546739,0.065754816,0.150480832,0.06978231,0.230475361,0.035107968,0.251865518,-0.008144237,0.214821062,-0.023881218,0.180957623,-0.107012089,0.165551746,-0.098622854,0.210867834,0.00933502,-0.085127561,-0.069585093,-0.096913388,0.005768103,0.072896567,0.083312136,0.229407035,-0.025129105,-0.349479781,-0.044488001,-0.351681995,-0.044499659,-0.364188728,-0.037008553,-0.277139054,-0.002709823,-0.293097474,-0.003386873,-0.129062309,0.049017719,0.153153845,0.075450766
