"","amphibian_eggs_and_larvae","annelids","ants","beetles","bird_eggs","birds","bugs","caecilians","centipedes","cockroaches","crocs","decapods","fish_eggs","fishes","frogs","insect_larvae_pupae_and_eggs","lizards","mammals","misc_invertebrates","misc_vertebrates","mollusks","non_ant_hymenopterans","orthopterans","plants","reptile_eggs","salamanders","scorpions","snakes","spiders","termites","turtles"
"Acratosaura_mentalis",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,6,0,0,0,6,0,26,0,0
"Agama_yemenensis",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Algyroides_nigropunctatus",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0
"Alopoglossus_angulatus",0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0
"Alopoglossus_atriventris",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
"Ameiva_ameiva",0,11,27,118,0,0,21,0,11,203,0,2,0,0,7,134,21,0,27,33,5,7,182,11,10,0,13,0,112,80,0
"Ameiva_festiva",0,0,0,1,0,0,1,0,0,15,0,0,0,0,1,0,0,0,1,0,0,0,12,0,2,0,0,0,6,0,0
"Amphibolurus_cristatus",0,0,28,3,0,0,1,0,5,0,0,0,0,0,0,5,0,0,1,0,0,3,6,1,0,0,0,0,5,24,0
"Amphibolurus_inermis",0,0,26,15,0,0,5,0,6,0,0,0,0,0,0,10,0,0,1,0,0,11,11,40,0,0,0,0,1,27,0
"Amphibolurus_isolepis",0,0,561,36,0,0,61,0,9,9,0,0,0,0,0,46,4,0,24,0,0,46,85,8,0,0,0,0,12,184,0
"Amphibolurus_scutulatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Amphisbaena_heathi",0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amphisbaena_munoai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,23,0,0,24,0,0,0,0,0,0,0,0,0
"Anolis_auratus",0,4,7,7,0,0,8,0,0,0,0,0,0,0,0,2,0,0,9,0,0,1,7,0,0,0,0,0,7,15,0
"Anolis_bahorucoensis",0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0
"Anolis_biporcatus",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"Anolis_capito",0,0,0,3,0,0,10,0,0,5,0,0,0,0,0,5,0,0,3,0,0,0,10,0,0,0,0,0,3,0,0
"Anolis_carpenteri",0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anolis_coelestinus",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Anolis_cybotes",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,6,0,0,0,0,0,2,0,0
"Anolis_distichus",0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Anolis_fuscoauratus",0,0,13,4,0,0,15,0,0,12,0,0,0,0,0,15,0,0,17,0,0,0,28,0,0,0,0,0,28,9,0
"Anolis_humilis",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,11,0,0,0,0,0,8,0,0
"Anolis_lemurinus",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0
"Anolis_limifrons",0,0,1,1,0,0,7,0,0,2,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,2,0,0
"Anolis_meridionalis",0,0,20,14,0,0,5,0,0,8,0,0,0,0,0,2,0,0,4,0,0,0,3,0,0,0,0,0,11,25,0
"Anolis_nitens",0,0,0,0,0,0,3,0,0,16,0,0,0,0,0,9,0,0,1,0,0,1,54,0,0,0,0,0,12,3,0
"Anolis_ortonii",0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anolis_oxylophus",0,0,2,3,0,0,1,0,0,4,0,2,0,0,0,20,0,0,9,0,0,1,5,0,0,0,0,0,14,0,0
"Anolis_planiceps",0,1,0,0,0,0,2,0,0,6,0,0,0,0,3,8,0,0,3,0,0,1,5,0,0,0,0,0,3,0,0
"Anolis_punctatus",0,0,13,5,0,0,7,0,0,1,0,0,0,0,0,2,0,0,4,0,0,3,9,0,0,0,0,0,1,0,0
"Anolis_scypheus",0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,3,0,0,6,0,0,0,7,0,0,0,0,0,6,0,0
"Anolis_tandai",0,0,2,1,0,0,1,0,0,5,0,0,0,0,0,6,0,0,4,0,0,1,17,0,0,0,0,0,8,1,0
"Anolis_trachyderma",0,0,1,0,0,0,2,0,0,9,0,0,0,0,0,14,3,0,5,0,0,0,20,0,0,0,0,0,14,4,0
"Anolis_transversalis",0,0,2,5,0,0,2,0,0,8,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0
"Anolis_ventrimaculatus",0,0,0,22,0,0,14,0,0,0,0,0,0,0,0,17,0,0,23,0,0,19,13,0,0,0,0,0,5,0,0
"Anops_kingi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,25,0,0,2,0,0,0,0,0,0,0,0,0
"Anotosaura_vanzolinia",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,4,0,0,0,0,0,1,0,0,0,0,0,3,57,0
"Arthrosaura_reticulata",0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,12,0,0
"Aspidoscelis_costatus",0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,74,1,0,0,0,0,7,0,0
"Aspidoscelis_deppei",0,0,0,4,0,0,3,0,0,9,0,0,0,0,0,1,0,0,14,0,0,0,15,0,0,0,0,0,4,9,0
"Aspidoscelis_marmoratus",0,0,5,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,16,9,0
"Aspidoscelis_tesselata",0,0,0,4,0,0,33,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,18,0,0,0,0,0,4,5,0
"Aspidoscelis_tigris",0,0,16,349,0,0,28,0,0,99,0,0,0,0,0,379,71,0,177,0,0,9,233,1,0,0,27,0,44,621,0
"Aspidoscelis_trigris",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"Bachia_bicolor",0,0,1,12,0,0,0,0,0,5,0,0,0,0,0,23,0,0,14,0,0,9,0,0,0,0,0,0,3,16,0
"Bachia_bresslaui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0
"Bachia_dorbignyi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basiliscus_plumifrons",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
"Caimanops_amphiboluroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0
"Callisaurus_draconoides",0,0,20,90,0,0,21,0,0,10,0,0,0,0,0,19,0,0,29,0,0,17,107,15,0,0,0,0,6,16,0
"Calyptommatus_leiolepis",0,0,1,4,0,0,1,0,3,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
"Cercosaura_argula",0,0,1,0,0,0,11,0,1,21,0,0,0,0,0,6,0,0,7,0,1,0,16,0,0,0,0,0,17,0,0
"Cercosaura_eigenmanni",0,0,0,5,0,0,14,0,0,16,0,0,0,0,0,1,0,0,2,0,0,0,21,0,0,0,0,0,15,0,0
"Cercosaura_ocellata",0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,62,1,0
"Cercosaura_schreibersii",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,4,0,0,0,0,0,5,4,0
"Chalcides_ocellatus",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Chamaeleo_jacksonii",0,0,0,8,0,0,17,0,0,0,0,0,0,0,0,0,1,0,28,0,0,5,4,0,0,0,0,0,0,0,0
"Chatogekko_amazonicus",0,0,0,6,0,0,16,0,0,5,0,0,0,0,0,20,0,0,78,0,0,0,1,0,0,0,0,0,4,5,0
"Chelosania_brunnea",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chlamydosaurus_kingii",0,0,0,8,0,0,6,0,43,1,0,0,0,0,0,0,0,0,64,0,1,8,28,0,0,0,0,0,2,60,0
"Chondrodactylus_angulifer",0,0,1,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,41,0,0,0,34,0,6,152,0
"Cnemidophorus_abaetensis",0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,6,3,0,0,0,0,3,1,0
"Cnemidophorus_cryptus",0,0,2,1,0,0,1,0,3,6,0,0,0,0,0,1,0,0,1,0,0,0,25,1,0,0,0,0,25,6,0
"Cnemidophorus_lacertoides",0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0
"Cnemidophorus_lemniscatus",0,0,3,14,0,0,10,0,1,2,0,1,0,0,0,18,0,0,5,0,0,4,21,15,0,0,0,0,9,11,0
"Cnemidophorus_littoralis",0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,22,0,0,1,0,0,0,1,1,0,0,0,0,0,53,0
"Cnemidophorus_mumbuca",0,0,3,8,0,0,8,0,1,9,0,0,0,0,0,27,0,0,20,0,0,0,91,0,0,0,0,0,13,31,0
"Cnemidophorus_murinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,0,0,0,0,0,0,0
"Cnemidophorus_nativo",0,0,0,1,0,0,2,0,0,7,0,0,0,0,0,44,0,0,0,0,0,1,0,0,0,0,0,0,3,39,0
"Cnemidophorus_ocellifer",0,0,9,60,0,0,18,0,86,25,0,0,0,0,0,228,4,0,39,60,0,2,228,44,3,0,121,0,153,209,0
"Cnemidophorus_parecis",0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,7,2,0,0,3,0,6,46,0
"Cnemidophorus_sp.",0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,0,0,0,3,1,0,0,0,0,17,0,0
"Cnemidophorus_venetacaudus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0
"Coleodactylus_meridionalis",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,14,0,0,0,0,0,11,14,0
"Coleodactylus_septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,10,0,0,0,0,0,1,21,0
"Coleonyx_variegatus",0,0,0,37,0,0,1,0,0,7,0,0,0,0,0,24,0,0,10,0,0,6,29,0,0,0,3,0,14,49,0
"Colobosaura_modesta",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,11,0,0
"Colopus_wahlbergii",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6,0,0,0,0,0,5,58,0
"Cophosaurus_texanus",0,0,0,7,0,0,6,0,1,0,0,0,0,0,0,9,0,0,7,0,0,0,31,0,0,0,1,0,1,0,0
"Cordylus_cordylus",0,0,3,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
"Cordylus_giganteus",0,0,14,160,0,0,11,0,1,0,0,0,0,0,0,0,0,0,24,0,0,3,14,40,0,0,0,0,1,0,0
"Cordylus_niger",0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"Cordylus_oelofseni",0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Corytophanes_cristatus",0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crocodilurus_amazonicus",0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,4,0,0,0,0,0,0,0,0,0
"Crotaphytus_wislizenii",0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,7,0,0,14,61,0,6,87,4,0,0,0,0,2,0,0
"Cryptoblepharus_boutonii",0,0,6,12,0,0,7,0,0,6,0,0,0,0,0,1,0,0,8,2,0,0,7,0,0,0,0,0,17,10,0
