"","amphibian_eggs_and_larvae","annelids","ants","beetles","bird_eggs","birds","bugs","caecilians","centipedes","cockroaches","crocs","decapods","fish_eggs","fishes","frogs","insect_larvae_pupae_and_eggs","lizards","mammals","misc_invertebrates","misc_vertebrates","mollusks","non_ant_hymenopterans","orthopterans","plants","reptile_eggs","salamanders","scorpions","snakes","spiders","termites","turtles"
"Gyalopion_quadrangulare",0.00250655615793858,0.00250900114571364,0.00251150713833074,0.00502005676032161,0.00250655615793858,0.00250916712399603,0.0107789677132388,0.00250655615793858,0.0147827355756955,0.00501542713069198,0.00250655615793858,0.00251901549786088,0.00250655615793858,0.00250905615793858,0.0025089657964928,0.0487354308277001,0.0100338420516885,0.00251148238585549,0.104262901825331,0.00501311231587717,0.00261120539899866,0.00506777021346109,0.0942183417234577,0.00250655615793858,0.00251156336480704,0.00251899625566794,0.165263228521891,0.00504540406519244,0.48148786548062,0.00250906242360274,0.00250655615793858
"Gyalopion_canum",0.00250655615793858,0.00250900114571364,0.00251150713833074,0.00502005676032161,0.00250655615793858,0.00250916712399603,0.0107789677132388,0.00250655615793858,0.0147827355756955,0.00501542713069198,0.00250655615793858,0.00251901549786088,0.00250655615793858,0.00250905615793858,0.0025089657964928,0.0487354308277001,0.0100338420516885,0.00251148238585549,0.104262901825331,0.00501311231587717,0.00261120539899866,0.00506777021346109,0.0942183417234577,0.00250655615793858,0.00251156336480704,0.00251899625566794,0.165263228521891,0.00504540406519244,0.48148786548062,0.00250906242360274,0.00250655615793858
"Ficimia_publia",0.00233832486915104,0.00305010394011927,0.00565321922636327,0.0159445959984515,0.00238072364046697,0.00234093583520848,0.0154839443135512,0.00233832486915104,0.0150394687290084,0.0190889377505747,0.00233832486915104,0.00255120765720965,0.00233832486915104,0.00234082486915104,0.00353222300379709,0.066176040316857,0.00949515825616156,0.00234325109706795,0.0991936765749699,0.00532024290357016,0.00329495612732894,0.00616689174912893,0.12908159738002,0.00371838868684563,0.00348111986808727,0.00240849793374022,0.135928597826474,0.00437722146648132,0.415773915072962,0.0141426354306491,0.00233832486915104
"Ficimia_streckeri",0.00239343019325832,0.00346299381211875,0.00951683396174354,0.0213493255315964,0.00241060391313264,0.00260457748909685,0.0178872991051914,0.00258339606543349,0.0155359508963785,0.01965863858086,0.00238338411875375,0.0033879735462761,0.00238338411875375,0.00238728467897784,0.00418339618685392,0.0602583017732738,0.0146245719112137,0.00478235809252449,0.0962337130895175,0.00585638623164087,0.00416872106450991,0.00733411988830922,0.138183104038082,0.00435730322409787,0.00359881052121589,0.00255944659154537,0.128772510610072,0.00474065928108502,0.393060109666613,0.0168084949888407,0.00253291682903412
"Sympholis_lippiens",0.000976529210200292,0.000980404252057702,0.0788131621773782,0.00589587439434284,0.000982423963811166,0.000976529210200292,0.00195166372026111,0.000977501972846206,0.0203664793134038,0.00104707500036504,0.000976529210200292,0.000989293376291437,0.000976529210200292,0.00097750102749864,0.000983396726457081,0.804041566975802,0.000976529210200292,0.00097750102749864,0.0192031069931788,0.000976529210200292,0.00105413376978758,0.00299324366198132,0.00642565822946763,0.00388424847955013,0.000976529210200292,0.000978478535346206,0.00100010822464379,0.000976529210200292,0.00749195458196205,0.0291964607042609,0.000976529210200292
"Pseudoficimia_frontalis",0.00250376879688936,0.00250621378466442,0.00251706906735702,0.00505867679477747,0.00250537651393116,0.0025063797629468,0.0107758387900145,0.00250376879688936,0.0148162534348137,0.00502943765372522,0.00250376879688936,0.00251944357089525,0.00250376879688936,0.00250626879688936,0.00250778615248538,0.0492482944045386,0.0100186185200366,0.00250869502480627,0.104270806517489,0.00505012463329122,0.00262931835949284,0.00506133683799125,0.0943322543624724,0.00253672759838748,0.00251102319476905,0.00251620889461872,0.165043248739375,0.00503747256238178,0.480805452673734,0.00266282936966962,0.00250376879688936
"Conopsis_lineata",0.00145984796912872,0.00149209032333654,0.00365772362827148,0.00623692719614991,0.00291969593825743,0.00145984796912872,0.00330897843137464,0.00145984796912872,0.00145984796912872,0.00925459466900789,0.00145984796912872,0.00512181397445096,0.00145984796912872,0.00146137468668597,0.00292249420493557,0.433537281126888,0.00145984796912872,0.00145984796912872,0.176076177626092,0.00145984796912872,0.0204640798319299,0.00183623899250547,0.142918672855371,0.00145984796912872,0.00145984796912872,0.00145984796912872,0.00730830168497806,0.00146543940687602,0.158453517064478,0.00258657475973808,0.00145984796912872
"Conopsis_biserialis",0.00145984796912872,0.00149209032333654,0.00365772362827148,0.00623692719614991,0.00291969593825743,0.00145984796912872,0.00330897843137464,0.00145984796912872,0.00145984796912872,0.00925459466900789,0.00145984796912872,0.00512181397445096,0.00145984796912872,0.00146137468668597,0.00292249420493557,0.433537281126888,0.00145984796912872,0.00145984796912872,0.176076177626092,0.00145984796912872,0.0204640798319299,0.00183623899250547,0.142918672855371,0.00145984796912872,0.00145984796912872,0.00145984796912872,0.00730830168497806,0.00146543940687602,0.158453517064478,0.00258657475973808,0.00145984796912872
"Conopsis_nasus",0.00145984796912872,0.00149209032333654,0.00365772362827148,0.00623692719614991,0.00291969593825743,0.00145984796912872,0.00330897843137464,0.00145984796912872,0.00145984796912872,0.00925459466900789,0.00145984796912872,0.00512181397445096,0.00145984796912872,0.00146137468668597,0.00292249420493557,0.433537281126888,0.00145984796912872,0.00145984796912872,0.176076177626092,0.00145984796912872,0.0204640798319299,0.00183623899250547,0.142918672855371,0.00145984796912872,0.00145984796912872,0.00145984796912872,0.00730830168497806,0.00146543940687602,0.158453517064478,0.00258657475973808,0.00145984796912872
"Sonora_semiannulata",0.00250655615793858,0.00250900114571364,0.00251150713833074,0.00502005676032161,0.00250655615793858,0.00250916712399603,0.0107789677132388,0.00250655615793858,0.0147827355756955,0.00501542713069198,0.00250655615793858,0.00251901549786088,0.00250655615793858,0.00250905615793858,0.0025089657964928,0.0487354308277001,0.0100338420516885,0.00251148238585549,0.104262901825331,0.00501311231587717,0.00261120539899866,0.00506777021346109,0.0942183417234577,0.00250655615793858,0.00251156336480704,0.00251899625566794,0.165263228521891,0.00504540406519244,0.48148786548062,0.00250906242360274,0.00250655615793858
