"predator","prey","count"
"Acratosaura_mentalis","bugs",3
"Acratosaura_mentalis","insect_larvae_pupae_and_eggs",4
"Acratosaura_mentalis","misc_vertebrates",1
"Acratosaura_mentalis","orthopterans",6
"Acratosaura_mentalis","scorpions",6
"Acratosaura_mentalis","spiders",26
"Agama_yemenensis","ants",5
"Agama_yemenensis","plants",5
"Algyroides_nigropunctatus","beetles",12
"Algyroides_nigropunctatus","misc_invertebrates",11
"Algyroides_nigropunctatus","spiders",11
"Alopoglossus_angulatus","cockroaches",19
"Alopoglossus_angulatus","orthopterans",1
"Alopoglossus_angulatus","spiders",12
"Alopoglossus_atriventris","cockroaches",9
"Alopoglossus_atriventris","orthopterans",1
"Alopoglossus_atriventris","spiders",3
"Ameiva_ameiva","annelids",11
"Ameiva_ameiva","ants",27
"Ameiva_ameiva","beetles",118
"Ameiva_ameiva","bugs",21
"Ameiva_ameiva","centipedes",11
"Ameiva_ameiva","cockroaches",203
"Ameiva_ameiva","decapods",2
"Ameiva_ameiva","frogs",7
"Ameiva_ameiva","insect_larvae_pupae_and_eggs",134
"Ameiva_ameiva","lizards",21
"Ameiva_ameiva","misc_invertebrates",27
"Ameiva_ameiva","misc_vertebrates",33
"Ameiva_ameiva","mollusks",5
"Ameiva_ameiva","non_ant_hymenopterans",7
"Ameiva_ameiva","orthopterans",182
"Ameiva_ameiva","plants",11
"Ameiva_ameiva","reptile_eggs",10
"Ameiva_ameiva","scorpions",13
"Ameiva_ameiva","spiders",112
"Ameiva_ameiva","termites",80
"Ameiva_festiva","beetles",1
"Ameiva_festiva","bugs",1
"Ameiva_festiva","cockroaches",15
"Ameiva_festiva","frogs",1
"Ameiva_festiva","misc_invertebrates",1
"Ameiva_festiva","orthopterans",12
"Ameiva_festiva","reptile_eggs",2
"Ameiva_festiva","spiders",6
"Amphibolurus_cristatus","ants",28
"Amphibolurus_cristatus","beetles",3
"Amphibolurus_cristatus","bugs",1
"Amphibolurus_cristatus","centipedes",5
"Amphibolurus_cristatus","insect_larvae_pupae_and_eggs",5
"Amphibolurus_cristatus","misc_invertebrates",1
"Amphibolurus_cristatus","non_ant_hymenopterans",3
"Amphibolurus_cristatus","orthopterans",6
