"","partition","left","right","RSS","ESS","R2"
"1",NA,"Gyalopion_quadrangulare","Dibamus_montanus",10334.1965334938,0,0
"2",9870,"Acanthodactylus_khamirensis","Atlantolacerta_andreanskyi",9912.33167027904,421.864863214805,0.0408
"3",11609,"Pachydactylus_werneri","Goggia_microlepidota",9602.15288157451,732.043651919339,0.0708
"4",8326,"Liolaemus_tehuelche","Ctenoblepharys_adspersa",9293.3730794402,1040.82345405364,0.101
"5",12306,"Stenodactylus_sthenodactylus","Cyrtopodion_aravallensis",8998.46114251739,1335.73539097645,0.129
"6",9339,"Agama_parafricana","Laudakia_sacra",8698.75834905838,1635.43818443547,0.158
"7",10934,"Ctenotus_gagudju","Notoscincus_ornatus",8452.780243059,1881.41629043484,0.182
"8",12263,"Hemidactylus_oxyrhinus","Hemidactylus_citernii",8228.34406957145,2105.85246392239,0.204
"9",12424,"Tarentola_protogigas","Tarentola_fascicularis",8071.43709472475,2262.7594387691,0.219
"10",9526,"Uromastyx_acanthinura","Saara_hardwickii",7919.79603600378,2414.40049749007,0.234
"11",9444,"Diporiphora_valens","Ctenophorus_clayi",7772.07214622424,2562.1243872696,0.248
"12",9086,"Sceloporus_taeniocnemis","Uma_exsul",7632.47417532725,2701.7223581666,0.261
"13",6730,"Eirenis_collaris","Mopanveldophis_zebrinus",7507.16291284284,2827.03362065101,0.274
"14",12538,"Pristurus_flavipunctatus","Pristurus_celerrimus",7381.19183859767,2953.00469489617,0.286
"15",12579,"Diplodactylus_laevis","Strophurus_robinsoni",7259.22348319763,3074.97305029622,0.298
