"","partition","left","right","RSS","ESS","R2"
"1",NA,"Gyalopion_quadrangulare","Dibamus_montanus",26898.2762890048,0,0
"2",6700,"Gyalopion_quadrangulare","Cylindrophis_ruffus",18032.5534110919,8865.72287791294,0.33
"3",8689,"Liolaemus_tehuelche","Shinisaurus_crocodilurus",16384.8265631049,10513.4497259,0.391
"4",10248,"Varanus_cerambonensis","Lanthanotus_borneensis",15239.733729087,11658.5425599179,0.433
"5",9089,"Ctenosaura_oedirhina","Dipsosaurus_dorsalis",14423.0541215457,12475.2221674592,0.464
"6",8408,"Chilabothrus_strigilatus","Xenopeltis_unicolor",13648.4378921939,13249.8383968109,0.493
"7",9166,"Anolis_townsendi","Anolis_argenteolus",13121.6560440931,13776.6202449117,0.512
"8",10834,"Aspidoscelis_laredoensis","Callopistes_flavipunctatus",12701.6133910032,14196.6628980017,0.528
"9",8108,"Bothrops_marajoensis","Azemiops_feae",12303.3621111715,14594.9141778333,0.543
"10",13041,"Sphaerodactylus_nicholsi","Pristurus_celerrimus",11971.0035572352,14927.2727317696,0.555
"11",11358,"Egernia_eos","Corucia_zebrata",11673.9038963149,15224.3723926899,0.566
"12",12115,"Pachydactylus_werneri","Cnemaspis_gemunu",11471.0363393291,15427.2399496757,0.574
"13",10142,"Brookesia_lineata","Palleon_nasus",11269.525638603,15628.7506504018,0.581
"14",7643,"Hydrophis_lamberti","Calliophis_intestinalis",11070.0668106901,15828.2094783148,0.588
"15",11987,"Cordylus_beraduccii","Broadleysaurus_major",10890.1707986984,16008.1054903065,0.595
