"","partition","left","right","RSS","ESS","R2"
"1",NA,"Sonora_semiannulata","Dibamus_novaeguineae",937.829559011373,0,0
"2",273,"Sonora_semiannulata","Myriopholis_longicauda",292.941748345726,644.887810665647,0.688
"3",277,"Sonora_semiannulata","Acrochordus_granulatus",244.299202887511,693.530356123862,0.74
"4",457,"Amphisbaena_alba","Rhineura_floridana",199.911792044954,737.917766966419,0.787
"5",432,"Trioceros_hoehnelii","Bradypodion_pumilum",159.524717033475,778.304841977898,0.83
"6",141,"Corytophanes_cristatus","Corytophanes_cristatus",143.650836126131,794.178722885242,0.847
"7",146,"Phrynosoma_platyrhinos","Phrynosoma_platyrhinos",129.004561616267,808.824997395106,0.862
"8",282,"Sonora_semiannulata","Pseudaspis_cana",114.395253038678,823.434305972695,0.878
"9",420,"Bronchocela_jubata","Bradypodion_pumilum",106.279332238373,831.550226773001,0.887
"10",171,"Heloderma_suspectum","Heloderma_suspectum",100.020242084364,837.80931692701,0.893
"11",445,"Varanus_salvator","Lanthanotus_borneensis",94.4545548884885,843.375004122885,0.899
"12",478,"Calyptommatus_nicterus","Calyptommatus_confusionibus",89.9903430545476,847.839215956826,0.904
"13",341,"Vipera_latastei","Causus_rhombeatus",86.372225510935,851.457333500438,0.908
"14",161,"Chamaeleo_calyptratus","Chamaeleo_calyptratus",82.9035240448197,854.926034966554,0.912
"15",501,"Acontias_aurantiacus","Typhlosaurus_braini",79.5140691202992,858.315489891074,0.915
