"trait","analysis","node","delta.aic","aicdiffs","r2","r2diffs","spanningTaxon1","spanningTaxon2"
"climate","modelFitting",NA,19013.9557547215,NA,0,NA,NA,NA
"climate","modelFitting",349,10438.100478682,8575.8552760395,0.00461265426350577,0.00461265426350577,"Gonocephalus_bornensis","Diporiphora_valens"
"climate","modelFitting",227,6083.05023060862,4355.05024807338,0.00866560674551831,0.00405295248201254,"Gyalopion_quadrangulare","Acanthodactylus_khamirensis"
"climate","modelFitting",352,5132.44577359553,950.60445701309,0.0297088553798478,0.0210432486343295,"Agama_parafricana","Laudakia_papenfussi"
"climate","modelFitting",243,4227.67953619737,904.76623739816,0.0312671405315662,0.00155828515171841,"Gyalopion_quadrangulare","Dendrelaphis_cyanochloris"
"climate","modelFitting",228,3252.18225877079,975.49727742658,0.0383523695910319,0.00708522905946574,"Gyalopion_quadrangulare","Liolaemus_tehuelche"
"climate","modelFitting",403,2510.73766774879,741.444591022,0.0398916601790397,0.00153929058800772,"Aspidoscelis_laredoensis","Dicrodon_guttulatum"
"climate","modelFitting",378,1720.21728010797,790.52038764082,0.071142006190543,0.0312503460115033,"Acanthodactylus_khamirensis","Darevskia_unisexualis"
"climate","modelFitting",343,1106.19639863372,614.02088147425,0.0901905336848235,0.0190485274942805,"Anolis_townsendi","Anolis_fraseri"
"climate","modelFitting",412,512.665213322653,593.531185311067,0.100764367895712,0.0105738342108881,"Carlia_quinquecarinata","Lygosoma_lineata"
"climate","modelFitting",274,0,512.665213322653,0.1011898380954,0.000425470199687972,"Bothrops_marajoensis","Vipera_eriwanensis"
"climate","CPO",NA,NA,NA,0,NA,"Gyalopion_quadrangulare","Dibamus_montanus"
"climate","CPO",-1,NA,NA,0.0408,0.0408,"Acanthodactylus_khamirensis","Atlantolacerta_andreanskyi"
"climate","CPO",-1,NA,NA,0.0708,0.03,"Pachydactylus_werneri","Goggia_microlepidota"
"climate","CPO",325,NA,NA,0.101,0.0302,"Liolaemus_tehuelche","Ctenoblepharys_adspersa"
