"","sample","treename","in_final_tree","in_all_tree","in_internal_tree","type","dataType","inTopoConstraint","type2","reason"
"2","AMB6860","Cordylosaurus_subtessellatus",TRUE,TRUE,FALSE,"rsbl20170393","genbank",FALSE,"published","not_placed"
"3","TJC1385","Acanthocercus_guentherpetersi",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"4","MVZ236454",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"5","lsuhc9351","Acanthosaura_armata",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"6","FMNH262964","Acanthosaura_coronata",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"7","cwl818","Acanthosaura_lepidogaster",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"8","MVZ_Herp_258141","Acanthosaura_nataliae",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"9","MVZ198076",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"10","AMB7582",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"11","CAS198929",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"12","CAS227496",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"13","FMNH262261",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"14","MVZ235763",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"15","MVZ257967",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"16","ADL3700",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"17","AMB4800",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"18","KU291843",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"19","AMB4850",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"20","CAS_227496","Agama_lanzai",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"21","ZMFK84983",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"22","CAS168911",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"23","MVZ249605",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"24","MVZ238891",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"25","AMB7638",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"26","MVZ249656",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"27","MVZ241335",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"28","TR482",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"29","MVZ_Herp_239462","Aphaniotis_acutirostris",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"30","acd1547","Bronchocela_cristatella",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"31","MVZ_Herp_253996","Bronchocela_jubata",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"32","FMNH262309","Bronchocela_smaragdina",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"33","CAS_230941","Calotes_emma",TRUE,TRUE,FALSE,"10.1093/sysbio/syv058","genomic",TRUE,"published","inTopoConstraint"
"34","dsm869","Calotes_mystaceus",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"35","lsuhc10327","Calotes_versicolor",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"36","AF128491","Ceratophora_aspera",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"37","ABTC80828","Chelosania_brunnea",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"38","UMMZ_236528","Chlamydosaurus_kingii",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"39","AF128493","Cophotis_ceylanica",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"40","NA_CCM2282_Ct_caud","Ctenophorus_slateri",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"41","UMMZ_244206_ct_isol","Ctenophorus_isolepis",TRUE,TRUE,TRUE,"rablab_rapid","genomic",TRUE,"new","inTopoConstraint"
