"repDB","treename","geog","eco","family","genus","dataType","inTopoConstraint","oneToOne"
"Acrochordus_arafurae","Acrochordus_arafurae","Acrochordus_arafurae",NA,"Acrochordidae","Acrochordus","genomic",FALSE,TRUE
"Acrochordus_granulatus","Acrochordus_granulatus","Acrochordus_granulatus",NA,"Acrochordidae","Acrochordus","genomic",FALSE,TRUE
"Acrochordus_javanicus","Acrochordus_javanicus","Acrochordus_javanicus",NA,"Acrochordidae","Acrochordus","genbank",FALSE,TRUE
"Acanthocercus_adramitanus","Acanthocercus_adramitanus","Acanthocercus_adramitanus","Acanthocercus_adramitanus","Agamidae","Acanthocercus","genbank",FALSE,TRUE
"Acanthocercus_annectans","Acanthocercus_annectans","Acanthocercus_annectens","Acanthocercus_annectans","Agamidae","Acanthocercus","genbank",FALSE,TRUE
"Acanthocercus_atricollis","Acanthocercus_atricollis","Acanthocercus_atricollis","Acanthocercus_atricollis","Agamidae","Acanthocercus","genbank",FALSE,TRUE
"Acanthocercus_branchi",NA,"Acanthocercus_branchi","Acanthocercus_branchi","Agamidae","Acanthocercus","imputed",FALSE,TRUE
"Acanthocercus_cyanocephalus",NA,NA,NA,"Agamidae","Acanthocercus","imputed",FALSE,TRUE
"Acanthocercus_cyanogaster","Acanthocercus_cyanogaster","Acanthocercus_cyanogaster","Acanthocercus_cyanogaster","Agamidae","Acanthocercus","genbank",FALSE,TRUE
"Acanthocercus_gregorii",NA,NA,NA,"Agamidae","Acanthocercus","imputed",FALSE,TRUE
"Acanthocercus_guentherpetersi","Acanthocercus_guentherpetersi","Acanthocercus_guentherpetersi","Acanthocercus_guentherpetersi","Agamidae","Acanthocercus","genomic",TRUE,TRUE
"Acanthocercus_kiwuensis",NA,NA,NA,"Agamidae","Acanthocercus","imputed",FALSE,TRUE
"Acanthocercus_minutus",NA,NA,NA,"Agamidae","Acanthocercus","imputed",FALSE,TRUE
"Acanthocercus_phillipsii",NA,"Acanthocercus_phillipsii","Acanthocercus_phillipsii","Agamidae","Acanthocercus","imputed",FALSE,TRUE
"Acanthocercus_ugandaensis",NA,NA,NA,"Agamidae","Acanthocercus","imputed",FALSE,TRUE
"Acanthocercus_yemensis","Acanthocercus_yemensis","Acanthocercus_yemensis","Acanthocercus_yemensis","Agamidae","Acanthocercus","genbank",FALSE,TRUE
"Acanthosaura_armata","Acanthosaura_armata","Acanthosaura_armata","Acanthosaura_armata","Agamidae","Acanthosaura","genbank",TRUE,TRUE
"Acanthosaura_bintangensis",NA,"Acanthosaura_bintangensis","Acanthosaura_bintangensis","Agamidae","Acanthosaura","imputed",FALSE,TRUE
"Acanthosaura_brachypoda",NA,"Acanthosaura_brachypoda","Acanthosaura_brachypoda","Agamidae","Acanthosaura","imputed",FALSE,TRUE
"Acanthosaura_capra","Acanthosaura_capra","Acanthosaura_capra","Acanthosaura_capra","Agamidae","Acanthosaura","genbank",FALSE,TRUE
"Acanthosaura_cardamomensis","Acanthosaura_cardamomensis","Acanthosaura_cardamomensis","Acanthosaura_cardamomensis","Agamidae","Acanthosaura","genbank",FALSE,TRUE
"Acanthosaura_coronata","Acanthosaura_coronata","Acanthosaura_coronata","Acanthosaura_coronata","Agamidae","Acanthosaura","genomic",TRUE,TRUE
"Acanthosaura_crucigera","Acanthosaura_crucigera","Acanthosaura_crucigera","Acanthosaura_crucigera","Agamidae","Acanthosaura","genbank",FALSE,TRUE
"Acanthosaura_lepidogaster","Acanthosaura_lepidogaster","Acanthosaura_lepidogaster","Acanthosaura_lepidogaster","Agamidae","Acanthosaura","genbank",TRUE,TRUE
"Acanthosaura_murphyi",NA,NA,NA,"Agamidae","Acanthosaura","imputed",FALSE,TRUE
"Acanthosaura_nataliae","Acanthosaura_nataliae","Acanthosaura_nataliae","Acanthosaura_nataliae","Agamidae","Acanthosaura","genomic",TRUE,TRUE
"Acanthosaura_phongdienensis",NA,NA,NA,"Agamidae","Acanthosaura","imputed",FALSE,TRUE
"Acanthosaura_phuketensis",NA,NA,"Acanthosaura_phuketensis","Agamidae","Acanthosaura","imputed",FALSE,TRUE
"Acanthosaura_titiwangsaensis",NA,"Acanthosaura_titiwangsaensis","Acanthosaura_titiwangsaensis","Agamidae","Acanthosaura","imputed",FALSE,TRUE
"Acanthosaura_tongbiguanensis",NA,NA,NA,"Agamidae","Acanthosaura","imputed",FALSE,TRUE
