"treename","family","genus","dataType","inTopoConstraint","oneToOne"
"Acrochordus_arafurae","Acrochordidae","Acrochordus","genomic",FALSE,TRUE
"Acrochordus_granulatus","Acrochordidae","Acrochordus","genomic",FALSE,TRUE
"Acrochordus_javanicus","Acrochordidae","Acrochordus","genbank",FALSE,TRUE
"Acanthocercus_adramitanus","Agamidae","Acanthocercus","genbank",FALSE,TRUE
"Acanthocercus_annectans","Agamidae","Acanthocercus","genbank",FALSE,TRUE
"Acanthocercus_atricollis","Agamidae","Acanthocercus","genbank",FALSE,TRUE
"Acanthocercus_branchi","Agamidae","Acanthocercus","imputed",FALSE,TRUE
"Acanthocercus_cyanocephalus","Agamidae","Acanthocercus","imputed",FALSE,TRUE
"Acanthocercus_cyanogaster","Agamidae","Acanthocercus","genbank",FALSE,TRUE
"Acanthocercus_gregorii","Agamidae","Acanthocercus","imputed",FALSE,TRUE
"Acanthocercus_guentherpetersi","Agamidae","Acanthocercus","genomic",TRUE,TRUE
"Acanthocercus_kiwuensis","Agamidae","Acanthocercus","imputed",FALSE,TRUE
"Acanthocercus_minutus","Agamidae","Acanthocercus","imputed",FALSE,TRUE
"Acanthocercus_phillipsii","Agamidae","Acanthocercus","imputed",FALSE,TRUE
"Acanthocercus_ugandaensis","Agamidae","Acanthocercus","imputed",FALSE,TRUE
"Acanthocercus_yemensis","Agamidae","Acanthocercus","genbank",FALSE,TRUE
"Acanthosaura_armata","Agamidae","Acanthosaura","genbank",TRUE,TRUE
"Acanthosaura_bintangensis","Agamidae","Acanthosaura","imputed",FALSE,TRUE
"Acanthosaura_brachypoda","Agamidae","Acanthosaura","imputed",FALSE,TRUE
"Acanthosaura_capra","Agamidae","Acanthosaura","genbank",FALSE,TRUE
"Acanthosaura_cardamomensis","Agamidae","Acanthosaura","genbank",FALSE,TRUE
"Acanthosaura_coronata","Agamidae","Acanthosaura","genomic",TRUE,TRUE
"Acanthosaura_crucigera","Agamidae","Acanthosaura","genbank",FALSE,TRUE
"Acanthosaura_lepidogaster","Agamidae","Acanthosaura","genbank",TRUE,TRUE
"Acanthosaura_murphyi","Agamidae","Acanthosaura","imputed",FALSE,TRUE
"Acanthosaura_nataliae","Agamidae","Acanthosaura","genomic",TRUE,TRUE
"Acanthosaura_phongdienensis","Agamidae","Acanthosaura","imputed",FALSE,TRUE
