family,genus,species,sample,institution,voucher,type,inTopoConstraint,num_total,avg_length,SRR
Boidae,Eryx,Eryx_colubrinus,ATOL_A103,NA,NA,10.1016/j.ympev.2016.04.015,TRUE,4438,416,SRR3284188
Pareidae,Pareas,Pareas_hamptoni,FMNH_255567,FMNH,FMNH_255567,10.1016/j.ympev.2016.04.015,FALSE,4616,342,SRR3284198
Lanthanotidae,Lanthanotus,Lanthanotus_borneensis,ISIS_393113,NA,NA,10.1016/j.ympev.2016.04.015,FALSE,4819,337,SRR3284496
Carphodactylidae,Saltuarius,Saltuarius_cornutus,SAMAR33647,NA,NA,10.1016/j.ympev.2016.04.015,TRUE,2871,281,SRR3284497
Anomalepididae,Liotyphlops,Liotyphlops_albirostris,SBH_172151,NA,NA,10.1016/j.ympev.2016.04.015,FALSE,4619,350,SRR3284195
Boidae,Lichanura,Lichanura_trivirgata,SDSNH_72826,NA,NA,10.1016/j.ympev.2016.04.015,TRUE,4827,381,SRR3284194
Leptotyphlopidae,Rena,Rena_humilis,SDSU_3939,NA,NA,10.1016/j.ympev.2016.04.015,TRUE,4719,395,SRR3284209
Anniellidae,Anniella,Anniella_pulchra,TNHC_55671,NA,NA,10.1016/j.ympev.2016.04.015,TRUE,4776,382,SRR3284494
Boidae,Exiliboa,Exiliboa_placata,UTA-R_12233,NA,NA,10.1016/j.ympev.2016.04.015,TRUE,3597,405,SRR3284190
Boidae,Ungaliophis,Ungaliophis_continentalis,UTA-R_12239,NA,NA,10.1016/j.ympev.2016.04.015,TRUE,3571,357,SRR3284470
Tropidophiidae,Tropidophis,Tropidophis_haetianus,YPM_13584,NA,NA,10.1016/j.ympev.2016.04.015,FALSE,4196,403,SRR3284312
Elapidae,Micrurus,Micrurus_fulvius,YPM_14096,NA,NA,10.1016/j.ympev.2016.04.015,TRUE,4654,380,SRR3284197
Loxocemidae,Loxocemus,Loxocemus_bicolor,ZA_46400,NA,NA,10.1016/j.ympev.2016.04.015,FALSE,3666,369,SRR3284196
Teiidae,Medopheos,Medopheos_edracanthus,AGC321,NA,NA,10.1016/j.ympev.2016.07.002,TRUE,309,1545,NA
Liolaemidae,Liolaemus,Liolaemus_alticolor,CAP60,NA,NA,10.1016/j.ympev.2016.07.002,TRUE,310,1484,NA
Teiidae,Tupinambis,Tupinambis_quadrilineatus,CHUNB00461,NA,NA,10.1016/j.ympev.2016.07.002,TRUE,309,1544,NA
Teiidae,Kentropyx,Kentropyx_altamazonica,CHUNB11420,NA,NA,10.1016/j.ympev.2016.07.002,TRUE,304,1549,NA
Teiidae,Cnemidophorus,Cnemidophorus_lemniscatus,CHUNB1461,NA,NA,10.1016/j.ympev.2016.07.002,TRUE,302,1518,NA
