"","partition","left","right","RSS","ESS","R2"
"1",NA,"Gyalopion_quadrangulare","Dibamus_montanus",2723.31252006998,0,0
"2",6897,"Gyalopion_quadrangulare","Proatheris_superciliaris",1497.75936297113,1225.55315709885,0.45
"3",8991,"Liolaemus_tehuelche","Phymaturus_maulense",1208.4874631134,1514.82505695657,0.556
"4",6889,"Gyalopion_quadrangulare","Shinisaurus_crocodilurus",1128.8299181026,1594.48260196737,0.585
"5",12967,"Cyrtodactylus_huongsonensis","Cyrtodactylus_bhupathyi",1075.79373766113,1647.51878240885,0.605
"6",8140,"Psammophis_orientalis","Hologerrhum_philippinum",1023.26550461916,1700.04701545081,0.624
"7",7908,"Hydrophis_lamberti","Hydrophis_hardwickii",981.276353778173,1742.0361662918,0.64
"8",13548,"Diplodactylus_laevis","Saltuarius_cornutus",951.61718005598,1771.695340014,0.651
"9",10779,"Darevskia_unisexualis","Darevskia_bithynica",924.404139306804,1798.90838076317,0.661
"10",11164,"Aspidoscelis_laredoensis","Glaucomastix_venetacauda",898.759446178687,1824.55307389129,0.67
"11",7721,"Dipsas_klebbai","Geophis_rhodogaster",873.444789313649,1849.86773075633,0.679
"12",11747,"Ctenotus_gagudju","Notoscincus_ornatus",848.754973825774,1874.5575462442,0.688
"13",7386,"Thamnophis_lineri","Thamnophis_sirtalis",826.148902323419,1897.16361774656,0.697
"14",8379,"Bothrops_marajoensis","Trimeresurus_gracilis",805.6366565428,1917.67586352718,0.704
"15",9805,"Sceloporus_taeniocnemis","Sceloporus_clarkii",786.507117711875,1936.8054023581,0.711
