"","partition","left","right","RSS","ESS","R2"
"1",NA,"Gyalopion_quadrangulare","Coleonyx_variegatus",83931.5657723954,0,0
"2",1321,"Gyalopion_quadrangulare","Anilius_scytale",51647.7171239162,32283.8486484792,0.385
"3",1588,"Thamnophis_godmani","Aspidura_trachyprocta",48808.7002223164,35122.865550079,0.418
"4",1345,"Gyalopion_quadrangulare","Scolecophis_atrocinctus",45901.0339148878,38030.5318575076,0.453
"5",1806,"Dipsas_pavonina","Cryophis_hallbergi",43941.6088274289,39989.9569449665,0.476
"6",1887,"Hydrophis_ornatus","Hydrophis_hardwickii",42411.5805803927,41519.9851920027,0.495
"7",2117,"Homalopsis_buccata","Brachyorrhos_albus",40932.1487653066,42999.4170070888,0.512
"8",1327,"Gyalopion_quadrangulare","Brachyorrhos_albus",39927.9147869076,44003.6509854877,0.524
"9",2240,"Pareas_atayal","Xylophis_perroteti",39113.5066780077,44818.0590943877,0.534
"10",1666,"Erythrolamprus_mimus","Plagiopholis_blakewayi",38424.4813094203,45507.0844629751,0.542
"11",1532,"Eirenis_medus","Eirenis_modestus",37731.6043986116,46199.9613737838,0.55
"12",1473,"Oligodon_formosanus","Oligodon_arnensis",37053.125238875,46878.4405335204,0.559
"13",2304,"Uropeltis_pulneyensis","Cylindrophis_ruffus",36391.6648043316,47539.9009680637,0.566
"14",1319,"Gyalopion_quadrangulare","Leptotyphlops_conjunctus",35814.4795745542,48117.0861978412,0.573
"15",2375,"Ctenosaura_hemilopha","Dipsosaurus_dorsalis",35248.7632570778,48682.8025153175,0.58
