"","partition","left","right","RSS","ESS","R2"
"1",NA,"Gyalopion_quadrangulare","Coleonyx_variegatus",751.36149477154,0,0
"2",1321,"Gyalopion_quadrangulare","Anilius_scytale",315.886898571054,435.474596200486,0.58
"3",1345,"Gyalopion_quadrangulare","Scolecophis_atrocinctus",283.162133717949,468.19936105359,0.623
"4",2375,"Ctenosaura_hemilopha","Dipsosaurus_dorsalis",265.704681962083,485.656812809457,0.646
"5",1532,"Eirenis_medus","Eirenis_modestus",249.455389840531,501.906104931009,0.668
"6",1478,"Oligodon_cruentatus","Oligodon_cinereus",236.79984764011,514.56164713143,0.685
"7",1806,"Dipsas_pavonina","Cryophis_hallbergi",227.027393292943,524.334101478596,0.698
"8",526,"Trimetopon_slevini","Trimetopon_slevini",220.32119437684,531.040300394699,0.707
"9",603,"Ogmodon_vitianus","Ogmodon_vitianus",215.712037799386,535.649456972153,0.713
"10",2240,"Pareas_atayal","Xylophis_perroteti",212.055148860897,539.306345910643,0.718
"11",2560,"Ctenotus_ariadnae","Sphenomorphus_incognitus",208.585507976018,542.775986795522,0.722
"12",1588,"Thamnophis_godmani","Aspidura_trachyprocta",205.286567563665,546.074927207875,0.727
"13",2220,"Echis_coloratus","Echis_carinatus",201.913509181251,549.447985590289,0.731
"14",1473,"Oligodon_formosanus","Oligodon_arnensis",198.600798778747,552.760695992793,0.736
"15",520,"Hypsiglena_torquata","Hypsiglena_torquata",195.37834522927,555.983149542269,0.74
