"","partition","left","right","RSS","ESS","R2"
"1",NA,"Gyalopion_quadrangulare","Coleonyx_variegatus",1981.3664921293,0,0
"2",1326,"Gyalopion_quadrangulare","Causus_lichtensteinii",1689.3428849015,292.023607227807,0.147
"3",1591,"Thamnophis_godmani","Natrix_tessellata",1601.52199206748,379.844500061826,0.192
"4",1974,"Naja_melanoleuca","Naja_nivea",1550.52340510934,430.843087019959,0.217
"5",1569,"Dendrelaphis_cyanochloris","Dendrelaphis_bifrenalis",1503.68629570806,477.680196421246,0.241
"6",2314,"Anilios_wiedii","Leptotyphlops_conjunctus",1462.64215867289,518.724333456412,0.262
"7",1890,"Hydrophis_ornatus","Hydrophis_caerulescens",1426.81152527301,554.55496685629,0.28
"8",2019,"Psammophis_subtaeniatus","Mimophis_mahfalensis",1389.79366069841,591.572831430898,0.299
"9",2147,"Bothrops_moojeni","Bothrops_atrox",1355.38104041987,625.985451709429,0.316
"10",2155,"Bothrops_jararaca","Bothrops_alcatraz",1323.52484556,657.841646569304,0.332
"11",2579,"Cordylus_oelofseni","Lepidophyma_flavimaculatum",1292.40852128117,688.957970848138,0.348
"12",1550,"Philothamnus_battersbyi","Thrasops_flavigularis",1262.75804181013,718.608450319178,0.363
"13",1402,"Chironius_flavolineatus","Chironius_quadricarinatus",1232.75672422954,748.609767899762,0.378
"14",1736,"Apostolepis_cearensis","Phalotris_mertensi",1203.54792993542,777.818562193888,0.393
"15",1765,"Mussurana_quimi","Boiruna_maculata",1176.03641896743,805.330073161874,0.406
