"","partition","left","right","RSS","ESS","R2"
"1",NA,"Gyalopion_quadrangulare","Dibamus_montanus",5815.77828489056,0,0
"2",6697,"Gyalopion_quadrangulare","Rhinoleptus_koniagui",674.503467007615,5141.27481788295,0.884
"3",10586,"Amphisbaena_camura","Rhineura_floridana",448.627721690664,5367.1505631999,0.923
"4",6706,"Gyalopion_quadrangulare","Hologerrhum_philippinum",398.968658293317,5416.80962659725,0.931
"5",8690,"Liolaemus_tehuelche","Palleon_nasus",352.979053289669,5462.79923160089,0.939
"6",11963,"Acontias_aurantiacus","Typhlosaurus_braini",315.8667185785,5499.91156631206,0.946
"7",13287,"Delma_impar","Ophidiocephalus_taeniatus",286.78791237098,5528.99037251958,0.951
"8",11507,"Lerista_gerrardii","Lerista_arenicola",264.307265246725,5551.47101964384,0.955
"9",11817,"Brachyseps_frontoparietalis","Pamelaescincus_gardineri",240.775839439829,5575.00244545073,0.959
"10",13376,"Dibamus_seramensis","Dibamus_montanus",226.93984623087,5588.83843865969,0.961
"11",7161,"Thamnophis_lineri","Aspidura_trachyprocta",214.070395170133,5601.70788972043,0.963
"12",10213,"Dopasia_hainanensis","Pseudopus_apodus",202.311534574168,5613.46675031639,0.965
"13",9735,"Draco_ornatus","Draco_dussumieri",192.020920058902,5623.75736483166,0.967
"14",9161,"Anolis_townsendi","Anolis_luciae",180.389646995509,5635.38863789505,0.969
"15",10226,"Anniella_campi","Anniella_geronimensis",171.510090588535,5644.26819430203,0.971
