"","partition","left","right","RSS","ESS","R2"
"1",NA,"Sonora_semiannulata","Dibamus_novaeguineae",14.0516807681236,0,0
"2",275,"Sonora_semiannulata","Anilius_scytale",8.37947348070197,5.67220728742166,0.404
"3",273,"Sonora_semiannulata","Myriopholis_longicauda",7.57451811179434,6.47716265632929,0.461
"4",457,"Amphisbaena_alba","Rhineura_floridana",6.91372862377002,7.13795214435361,0.508
"5",369,"Uropeltis_arcticeps","Cylindrophis_ruffus",6.34195299681162,7.70972777131201,0.549
"6",335,"Bothrops_asper","Causus_rhombeatus",5.93000898741831,8.12167178070533,0.578
"7",392,"Liolaemus_bellii","Bradypodion_pumilum",5.56612069070062,8.48556007742301,0.604
"8",432,"Trioceros_hoehnelii","Bradypodion_pumilum",5.36297167008678,8.68870909803685,0.618
"9",277,"Sonora_semiannulata","Acrochordus_granulatus",5.16381627195829,8.88786449616534,0.633
"10",415,"Basiliscus_basiliscus","Corytophanes_cristatus",4.9823360146412,9.06934475348243,0.645
"11",501,"Acontias_aurantiacus","Typhlosaurus_braini",4.80224868938796,9.24943207873567,0.658
"12",381,"Acutotyphlops_kunuaensis","Antillotyphlops_richardi",4.66257969047195,9.38910107765168,0.668
"13",472,"Procellosaurinus_tetradactylus","Bachia_bicolor",4.52730797684837,9.52437279127527,0.678
"14",328,"Amblyodipsas_unicolor","Homoroselaps_lacteus",4.41701470213352,9.63466606599011,0.686
"15",506,"Chamaesaura_anguina","Cricosaura_typica",4.32074796475695,9.73093280336668,0.693
