"","partition","left","right","RSS","ESS","R2"
"1",NA,"Sonora_semiannulata","Dibamus_novaeguineae",242.283183266287,0,0
"2",273,"Sonora_semiannulata","Myriopholis_longicauda",133.355591029014,108.927592237273,0.45
"3",350,"Chilabothrus_striatus","Xenopeltis_unicolor",119.135911388663,123.147271877625,0.508
"4",434,"Chamaeleo_calyptratus","Chamaeleo_laevigatus",109.428152342476,132.855030923811,0.548
"5",531,"Delma_borea","Lialis_burtonis",101.391523613228,140.891659653059,0.582
"6",429,"Pogona_vitticeps","Moloch_horridus",93.8781656960387,148.405017570248,0.613
"7",271,"Sonora_semiannulata","Callopistes_maculatus",88.0751855731986,154.207997693089,0.636
"8",501,"Acontias_aurantiacus","Typhlosaurus_braini",82.9762399783444,159.306943287943,0.658
"9",443,"Heloderma_horridum","Heloderma_suspectum",78.7343425447464,163.548840721541,0.675
"10",280,"Sonora_semiannulata","Causus_rhombeatus",74.5629345536193,167.720248712668,0.692
"11",413,"Crotaphytus_collaris","Corytophanes_cristatus",70.4572830206008,171.825900245686,0.709
"12",447,"Varanus_salvator","Varanus_gouldii",66.2809554214883,176.002227844799,0.726
"13",459,"Amphisbaena_alba","Trogonophis_wiegmanni",61.8241707323965,180.459012533891,0.745
"14",419,"Phrynosoma_platyrhinos","Uma_scoparia",57.4879735531843,184.795209713103,0.763
"15",495,"Egernia_depressa","Tiliqua_scincoides",53.6813544700507,188.601828796236,0.778
