"","partition","left","right","RSS","ESS","R2"
"1",NA,"Gyalopion_quadrangulare","Anelytropsis_papillosus",1789.55908496914,0,0
"2",2123,"Gyalopion_quadrangulare","Leptotyphlops_nigricans",199.058598536868,1590.50048643227,0.889
"3",2953,"Liolaemus_fitzingerii","Brookesia_stumpffi",162.387364651732,1627.17172031741,0.909
"4",3462,"Amphisbaena_alba","Rhineura_floridana",138.800768515502,1650.75831645364,0.922
"5",4193,"Delma_impar","Ophidiocephalus_taeniatus",120.350333431181,1669.20875153796,0.933
"6",3893,"Brachyseps_frontoparietalis","Chalcides_mauritanicus",103.325215361175,1686.23386960797,0.942
"7",4008,"Acontias_aurantiacus","Typhlosaurus_meyeri",86.2342834652542,1703.32480150389,0.952
"8",3752,"Lerista_gerrardii","Lerista_microtis",78.412126444599,1711.14695852454,0.956
"9",4235,"Dibamus_novaeguineae","Anelytropsis_papillosus",74.6022322943544,1714.95685267479,0.958
"10",3858,"Brachymeles_samad","Brachymeles_apus",70.7475370546512,1718.81154791449,0.96
"11",3300,"Abronia_taeniata","Diploglossus_bilobatus",67.124308087831,1722.43477688131,0.962
"12",3519,"Bachia_barbouri","Bachia_heteropa",63.686029516273,1725.87305545287,0.964
"13",2127,"Gyalopion_quadrangulare","Achalinus_niger",60.2739152144134,1729.28516975473,0.966
"14",3798,"Hemiergis_decresiensis","Anomalopus_swansoni",57.6542079274043,1731.90487704174,0.968
"15",4209,"Aprasia_smithi","Lialis_jicari",55.3576103575075,1734.20147461163,0.969
