"aic","logL","type","npar","nshifts","shiftnodes.1","shiftnodes.2","shiftnodes.3","shiftnodes.4","shiftnodes.5","shiftnodes.6","shiftnodes.7","shiftnodes.8","shiftnodes.9","shiftnodes.10","span.1","span.2","span.3","span.4","span.5","span.6","span.7","span.8","span.9","span.10","span.11","span.12","span.13","span.14","span.15","span.16","span.17","span.18","span.19","span.20"
"1",19013.9557547215,-18914.2705729615,"base",9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"2",11932.6703898341,-15372.6278905178,"shift",10,1,9222,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonocephalus_bornensis","Diporiphora_valens","","","","","","","","","","","","","","","","","",""
"3",8478.64044193488,-13644.6129165682,"shift",11,2,9222,6396,NA,NA,NA,NA,NA,NA,NA,NA,"Gonocephalus_bornensis","Diporiphora_valens","Gyalopion_quadrangulare","Acanthodactylus_khamirensis","","","","","","","","","","","","","","","",""
"4",7834.02772854368,-13321.3065598726,"shift",12,3,9222,6396,10210,NA,NA,NA,NA,NA,NA,NA,"Gonocephalus_bornensis","Diporiphora_valens","Gyalopion_quadrangulare","Acanthodactylus_khamirensis","Cercosaura_parkeri","Alopoglossus_copii","","","","","","","","","","","","","",""
"5",7270.01429387829,-13038.2998425399,"shift",13,4,9222,6396,10210,6412,NA,NA,NA,NA,NA,NA,"Gonocephalus_bornensis","Diporiphora_valens","Gyalopion_quadrangulare","Acanthodactylus_khamirensis","Cercosaura_parkeri","Alopoglossus_copii","Gyalopion_quadrangulare","Dendrelaphis_cyanochloris","","","","","","","","","","","",""
"6",6769.84319233814,-12787.2142917698,"shift",14,5,9222,6396,10210,6412,9339,NA,NA,NA,NA,NA,"Gonocephalus_bornensis","Diporiphora_valens","Gyalopion_quadrangulare","Acanthodactylus_khamirensis","Cercosaura_parkeri","Alopoglossus_copii","Gyalopion_quadrangulare","Dendrelaphis_cyanochloris","Agama_parafricana","Laudakia_papenfussi","","","","","","","","","",""
"7",6252.80660569932,-12527.6959984504,"shift",15,6,9222,6396,10210,6412,9339,9866,NA,NA,NA,NA,"Gonocephalus_bornensis","Diporiphora_valens","Gyalopion_quadrangulare","Acanthodactylus_khamirensis","Cercosaura_parkeri","Alopoglossus_copii","Gyalopion_quadrangulare","Dendrelaphis_cyanochloris","Agama_parafricana","Laudakia_papenfussi","Acanthodactylus_khamirensis","Cercosaura_parkeri","","","","","","","",""
"8",5719.11722466389,-12259.8513079327,"shift",16,7,9222,6396,10210,6412,9339,9866,10132,NA,NA,NA,"Gonocephalus_bornensis","Diporiphora_valens","Gyalopion_quadrangulare","Acanthodactylus_khamirensis","Cercosaura_parkeri","Alopoglossus_copii","Gyalopion_quadrangulare","Dendrelaphis_cyanochloris","Agama_parafricana","Laudakia_papenfussi","Acanthodactylus_khamirensis","Cercosaura_parkeri","Amphisbaena_camura","Rhineura_floridana","","","","","",""
"9",5234.33097954473,-12016.4581853731,"shift",17,8,9222,6396,10210,6412,9339,9866,10132,7745,NA,NA,"Gonocephalus_bornensis","Diporiphora_valens","Gyalopion_quadrangulare","Acanthodactylus_khamirensis","Cercosaura_parkeri","Alopoglossus_copii","Gyalopion_quadrangulare","Dendrelaphis_cyanochloris","Agama_parafricana","Laudakia_papenfussi","Acanthodactylus_khamirensis","Cercosaura_parkeri","Amphisbaena_camura","Rhineura_floridana","Bothrops_marajoensis","Vipera_eriwanensis","","","",""
"10",4800.24139496808,-11798.4133930848,"shift",18,9,9222,6396,10210,6412,9339,9866,10132,7745,8326,NA,"Gonocephalus_bornensis","Diporiphora_valens","Gyalopion_quadrangulare","Acanthodactylus_khamirensis","Cercosaura_parkeri","Alopoglossus_copii","Gyalopion_quadrangulare","Dendrelaphis_cyanochloris","Agama_parafricana","Laudakia_papenfussi","Acanthodactylus_khamirensis","Cercosaura_parkeri","Amphisbaena_camura","Rhineura_floridana","Bothrops_marajoensis","Vipera_eriwanensis","Liolaemus_tehuelche","Ctenoblepharys_adspersa","",""
