"aic","logL","type","npar","nshifts","shiftnodes.1","shiftnodes.2","shiftnodes.3","shiftnodes.4","shiftnodes.5","shiftnodes.6","shiftnodes.7","shiftnodes.8","shiftnodes.9","shiftnodes.10","span.1","span.2","span.3","span.4","span.5","span.6","span.7","span.8","span.9","span.10","span.11","span.12","span.13","span.14","span.15","span.16","span.17","span.18","span.19","span.20"
"1",42612.6791191798,-35376.8107389394,"base",495,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"2",41376.406517461,-34757.67443808,"shift",496,1,1588,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","","","","","","","","","",""
"3",40669.9875506849,-34403.464954692,"shift",497,2,1588,2248,NA,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","","","","","","","","","","","","","","","",""
"4",39986.3257985479,-34060.6340786235,"shift",498,3,1588,2248,2014,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Psammophis_subtaeniatus","Liopholidophis_sexlineatus","","","","","","","","","","","","","",""
"5",39453.6709198386,-33793.3066392688,"shift",499,4,1588,2248,2014,2314,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Psammophis_subtaeniatus","Liopholidophis_sexlineatus","Anilios_wiedii","Trilepida_koppesi","","","","","","","","","","","",""
"6",38944.1787959228,-33537.5605773109,"shift",500,5,1588,2248,2014,2314,1330,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Psammophis_subtaeniatus","Liopholidophis_sexlineatus","Anilios_wiedii","Trilepida_koppesi","Gyalopion_quadrangulare","Thamnophis_godmani","","","","","","","","","",""
"7",21604.5724199153,-24377.7573893071,"censored",990,1,1321,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","","","","","","","","","","","","","","","","","",""
"8",15419.4274844807,-20790.1849215898,"censored",1485,2,1321,1329,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Erythrolamprus_mimus","","","","","","","","","","","","","","","",""
"9",9932.71532174261,-17551.8288402208,"censored",1980,3,1321,2249,1329,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Chilabothrus_striatus","Liasis_fuscus","Gyalopion_quadrangulare","Erythrolamprus_mimus","","","","","","","","","","","","","",""
"10",4913.04893468242,-14546.9956466907,"censored",2475,4,1321,2249,1329,2017,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Chilabothrus_striatus","Liasis_fuscus","Gyalopion_quadrangulare","Erythrolamprus_mimus","Psammophis_subtaeniatus","Psammodynastes_pulverulentus","","","","","","","","","","","",""
"11",0,-11595.4711793495,"censored",2970,5,1321,2249,1329,2017,1588,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Chilabothrus_striatus","Liasis_fuscus","Gyalopion_quadrangulare","Erythrolamprus_mimus","Psammophis_subtaeniatus","Psammodynastes_pulverulentus","Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","",""
