"sim","nvar","aic","logL","type","npar","nshifts","shiftnodes.1","shiftnodes.2","shiftnodes.3","shiftnodes.4","shiftnodes.5","shiftnodes.6","shiftnodes.7","shiftnodes.8","shiftnodes.9","shiftnodes.10","span.1","span.2","span.3","span.4","span.5","span.6","span.7","span.8","span.9","span.10","span.11","span.12","span.13","span.14","span.15","span.16","span.17","span.18","span.19","span.20"
"1",1,15,32726.4408224331,-26321.0281880709,"base",135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"2",1,15,31133.8852078438,-25523.7503807763,"shift",136,1,1588,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","","","","","","","","","",""
"3",1,15,30499.0037486213,-25205.309651165,"shift",137,2,1588,2248,NA,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","","","","","","","","","","","","","","","",""
"4",1,15,30114.528707039,-25012.0721303739,"shift",138,3,1588,2248,2314,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Anilios_wiedii","Trilepida_koppesi","","","","","","","","","","","","","",""
"5",1,15,29778.2914112513,-24842.95348248,"shift",139,4,1588,2248,2314,2013,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Anilios_wiedii","Trilepida_koppesi","Psammophis_subtaeniatus","Pseudaspis_cana","","","","","","","","","","","",""
"6",1,15,29611.0417945754,-24758.3286741421,"shift",140,5,1588,2248,2314,2013,1585,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Anilios_wiedii","Trilepida_koppesi","Psammophis_subtaeniatus","Pseudaspis_cana","Sibynophis_collaris","Scaphiodontophis_venustissimus","","","","","","","","","",""
"7",1,15,25122.8165588962,-22384.2160563025,"censored",270,1,1321,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","","","","","","","","","","","","","","","","","",""
"8",1,15,18420.3676587019,-18897.9916062053,"censored",405,2,1321,1325,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Pareas_atayal","","","","","","","","","","","","","","","",""
"9",1,15,11709.5578298628,-15407.5866917858,"censored",540,3,1321,1325,2015,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Pareas_atayal","Psammophis_subtaeniatus","Boaedon_lineatus","","","","","","","","","","","","","",""
"10",1,15,6616.42407171716,-12726.019812713,"censored",675,4,1316,1321,1325,2015,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Carinascincus_ocellatus","Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Pareas_atayal","Psammophis_subtaeniatus","Boaedon_lineatus","","","","","","","","","","","",""
"11",1,15,0,-9282.80777685438,"censored",810,5,1316,2339,1321,1325,2015,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Carinascincus_ocellatus","Liolaemus_lutzae","Diploglossus_lessonae","Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Pareas_atayal","Psammophis_subtaeniatus","Boaedon_lineatus","","","","","","","","","",""
"12",2,15,35476.9981085669,-21678.2166258294,"base",135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"13",2,15,34848.6359779005,-21363.0355604961,"shift",136,1,2248,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","","","","","","","","","","","","","","","","","",""
"14",2,15,34334.7319256208,-21105.0835343563,"shift",137,2,2248,1588,NA,NA,NA,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","","","","","","","",""
"15",2,15,33980.5530608833,-20926.9941019875,"shift",138,3,2248,1588,2013,NA,NA,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","Thamnophis_godmani","Rhabdophis_nigrocinctus","Psammophis_subtaeniatus","Pseudaspis_cana","","","","","","","","","","","","","",""
"16",2,15,33568.4568150638,-20719.9459790778,"shift",139,4,2248,1588,2013,2329,NA,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","Thamnophis_godmani","Rhabdophis_nigrocinctus","Psammophis_subtaeniatus","Pseudaspis_cana","Afrotyphlops_punctatus","Rhinotyphlops_lalandei","","","","","","","","","","","",""
"17",2,15,33114.38473869,-20491.9099408909,"shift",140,5,2248,1588,2013,2329,2240,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","Thamnophis_godmani","Rhabdophis_nigrocinctus","Psammophis_subtaeniatus","Pseudaspis_cana","Afrotyphlops_punctatus","Rhinotyphlops_lalandei","Pareas_atayal","Xylophis_captaini","","","","","","","","","",""
"18",2,15,16466.8738924947,-12038.1545177932,"censored",270,1,1321,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","","","","","","","","","","","","","","","","","",""
"19",2,15,10000.5412503411,-8669.98819671644,"censored",405,2,1321,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Psammophis_subtaeniatus","Boaedon_lineatus","","","","","","","","","","","","","","","",""
"20",2,15,4524.04220012177,-5796.73867160679,"censored",540,3,1321,1326,2015,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Bothrops_moojeni","Psammophis_subtaeniatus","Boaedon_lineatus","","","","","","","","","","","","","",""
"21",2,15,2127.43943601952,-4463.43728955567,"censored",675,4,1321,1326,2015,1333,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Bothrops_moojeni","Psammophis_subtaeniatus","Boaedon_lineatus","Gyalopion_quadrangulare","Dendrelaphis_cyanochloris","","","","","","","","","","","",""
"22",2,15,0,-3264.7175715459,"censored",810,5,1321,1326,1327,2015,1333,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Bothrops_moojeni","Gyalopion_quadrangulare","Homalopsis_buccata","Psammophis_subtaeniatus","Boaedon_lineatus","Gyalopion_quadrangulare","Dendrelaphis_cyanochloris","","","","","","","","","",""
"23",3,15,26023.9022930035,-26375.5113510474,"base",135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"24",3,15,25060.7990039188,-25892.959706505,"shift",136,1,1588,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","","","","","","","","","",""
"25",3,15,24355.1690154072,-25539.1447122492,"shift",137,2,1588,2248,NA,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","","","","","","","","","","","","","","","",""
"26",3,15,23938.5226469245,-25329.8215280078,"shift",138,3,1588,2248,2329,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Afrotyphlops_punctatus","Rhinotyphlops_lalandei","","","","","","","","","","","","","",""
"27",3,15,23654.9321887472,-25187.0262989192,"shift",139,4,1588,2248,2329,2014,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Afrotyphlops_punctatus","Rhinotyphlops_lalandei","Psammophis_subtaeniatus","Liopholidophis_sexlineatus","","","","","","","","","","","",""
"28",3,15,22998.4145495011,-24857.7674792961,"shift",140,5,1588,2248,2329,2014,1324,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Afrotyphlops_punctatus","Rhinotyphlops_lalandei","Psammophis_subtaeniatus","Liopholidophis_sexlineatus","Gyalopion_quadrangulare","Achalinus_spinalis","","","","","","","","","",""
"29",3,15,16028.0253246819,-21242.5728668865,"censored",270,1,1321,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","","","","","","","","","","","","","","","","","",""
"30",3,15,10258.3511809345,-18222.7357950128,"censored",405,2,1321,1326,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Bothrops_moojeni","","","","","","","","","","","","","","","",""
"31",3,15,4886.63259608608,-15401.8765025886,"censored",540,3,1321,1326,2013,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Bothrops_moojeni","Psammophis_subtaeniatus","Pseudaspis_cana","","","","","","","","","","","","","",""
"32",3,15,2509.42469122138,-14078.2725501563,"censored",675,4,1321,1326,2013,1588,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Bothrops_moojeni","Psammophis_subtaeniatus","Pseudaspis_cana","Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","","","",""
"33",3,15,0,-12688.5602045456,"censored",810,5,1321,1326,1869,2013,1588,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Bothrops_moojeni","Hydrophis_ornatus","Psammophis_subtaeniatus","Psammophis_subtaeniatus","Pseudaspis_cana","Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","",""
"34",4,15,26606.9130676357,-24226.5483815704,"base",135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"35",4,15,25586.9885696518,-23715.5861325784,"shift",136,1,1588,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","","","","","","","","","",""
"36",4,15,24997.2019762609,-23419.692835883,"shift",137,2,1588,2248,NA,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","","","","","","","","","","","","","","","",""
"37",4,15,24668.8230809541,-23254.5033882296,"shift",138,3,1588,2248,2314,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Anilios_wiedii","Trilepida_koppesi","","","","","","","","","","","","","",""
"38",4,15,24365.2857480857,-23101.7347217954,"shift",139,4,1588,2248,2314,2015,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Anilios_wiedii","Trilepida_koppesi","Psammophis_subtaeniatus","Boaedon_lineatus","","","","","","","","","","","",""
"39",4,15,24114.8654042816,-22975.5245498934,"shift",140,5,1588,2248,2314,2015,1582,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Anilios_wiedii","Trilepida_koppesi","Psammophis_subtaeniatus","Boaedon_lineatus","Calamaria_septentrionalis","Pseudorabdion_oxycephalum","","","","","","","","","",""
"40",4,15,16975.2584178147,-19275.7210566599,"censored",270,1,1321,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","","","","","","","","","","","","","","","","","",""
"41",4,15,10582.1489171819,-15944.1663063435,"censored",405,2,1321,1324,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Achalinus_spinalis","","","","","","","","","","","","","","","",""
"42",4,15,4318.09310867357,-12677.1384020893,"censored",540,3,1321,1324,2015,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Achalinus_spinalis","Psammophis_subtaeniatus","Boaedon_lineatus","","","","","","","","","","","","","",""
"43",4,15,1951.57708229537,-11358.8803889002,"censored",675,4,1321,1324,2015,1333,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Achalinus_spinalis","Psammophis_subtaeniatus","Boaedon_lineatus","Gyalopion_quadrangulare","Dendrelaphis_cyanochloris","","","","","","","","","","","",""
"44",4,15,0,-10248.0918477526,"censored",810,5,1321,1324,1329,2015,1333,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Achalinus_spinalis","Gyalopion_quadrangulare","Erythrolamprus_mimus","Psammophis_subtaeniatus","Boaedon_lineatus","Gyalopion_quadrangulare","Dendrelaphis_cyanochloris","","","","","","","","","",""
"45",5,15,27465.6294599278,-25234.4130216598,"base",135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"46",5,15,26844.6857196584,-24922.9411515251,"shift",136,1,2248,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","","","","","","","","","","","","","","","","","",""
"47",5,15,26282.2412218001,-24640.7189025959,"shift",137,2,2248,1588,NA,NA,NA,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","","","","","","","",""
"48",5,15,25856.4450567454,-24426.8208200686,"shift",138,3,2248,1588,2329,NA,NA,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","Thamnophis_godmani","Rhabdophis_nigrocinctus","Afrotyphlops_punctatus","Rhinotyphlops_lalandei","","","","","","","","","","","","","",""
"49",5,15,25507.2852529273,-24251.2409181596,"shift",139,4,2248,1588,2329,2421,NA,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","Thamnophis_godmani","Rhabdophis_nigrocinctus","Afrotyphlops_punctatus","Rhinotyphlops_lalandei","Diploderma_swinhonis","Draco_melanopogon","","","","","","","","","","","",""
"50",5,15,25364.9586197354,-24179.0776015636,"shift",140,5,2248,1588,2329,2421,2016,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","Thamnophis_godmani","Rhabdophis_nigrocinctus","Afrotyphlops_punctatus","Rhinotyphlops_lalandei","Diploderma_swinhonis","Draco_melanopogon","Psammophis_subtaeniatus","Xenocalamus_mechowii","","","","","","","","","",""
"51",5,15,16504.0404866612,-19618.6185350265,"censored",270,1,1321,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","","","","","","","","","","","","","","","","","",""
"52",5,15,11331.8302683321,-16897.5134258619,"censored",405,2,1321,1588,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","","","","","","","",""
"53",5,15,6578.269597553,-14385.7330904724,"censored",540,3,1321,2132,1588,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Bothrops_moojeni","Vipera_ursinii","Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","","","","","",""
