"aic","logL","type","npar","nshifts","shiftnodes.1","shiftnodes.2","shiftnodes.3","shiftnodes.4","shiftnodes.5","shiftnodes.6","shiftnodes.7","shiftnodes.8","shiftnodes.9","shiftnodes.10","span.1","span.2","span.3","span.4","span.5","span.6","span.7","span.8","span.9","span.10","span.11","span.12","span.13","span.14","span.15","span.16","span.17","span.18","span.19","span.20"
"1",12161.1071099504,603.772069056737,"base",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"2",5844.26150890034,3763.19486958174,"shift",3,1,6697,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","","","","","","","","","","","","","","","","","",""
"3",4597.35255677233,4387.64934564575,"shift",4,2,6697,8081,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Homalopsis_semizonata","Brachyorrhos_albus","","","","","","","","","","","","","","","",""
"4",3230.38800514928,5072.13162145728,"shift",5,3,6697,8081,12108,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Homalopsis_semizonata","Brachyorrhos_albus","Pachydactylus_werneri","Cyrtodactylus_huongsonensis","","","","","","","","","","","","","",""
"5",1999.17685736221,5688.73719535081,"shift",6,4,6697,8081,12108,8692,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Homalopsis_semizonata","Brachyorrhos_albus","Pachydactylus_werneri","Cyrtodactylus_huongsonensis","Liolaemus_tehuelche","Anolis_townsendi","","","","","","","","","","","",""
"6",981.480226724301,6198.58551066977,"shift",7,5,6697,8081,12108,8692,10314,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Homalopsis_semizonata","Brachyorrhos_albus","Pachydactylus_werneri","Cyrtodactylus_huongsonensis","Liolaemus_tehuelche","Anolis_townsendi","Acanthodactylus_khamirensis","Gallotia_simonyi","","","","","","","","","",""
"7",4552.3776260847,4410.13681098957,"censored",4,1,6697,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","","","","","","","","","","","","","","","","","",""
"8",2916.05354545379,5230.29885130502,"censored",6,2,6697,12106,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Pachydactylus_werneri","Sphaerodactylus_nicholsi","","","","","","","","","","","","","","","",""
"9",1671.2809897527,5854.68512915556,"censored",8,3,6697,12106,9161,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Pachydactylus_werneri","Sphaerodactylus_nicholsi","Anolis_townsendi","Anolis_fraseri","","","","","","","","","","","","","",""
"10",708.956505360617,6337.84737135161,"censored",10,4,6697,12106,10314,9161,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Pachydactylus_werneri","Sphaerodactylus_nicholsi","Acanthodactylus_khamirensis","Gallotia_simonyi","Anolis_townsendi","Anolis_fraseri","","","","","","","","","","","",""
"11",0,6694.32562403192,"censored",12,5,6697,12106,10314,9161,8081,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Pachydactylus_werneri","Sphaerodactylus_nicholsi","Acanthodactylus_khamirensis","Gallotia_simonyi","Anolis_townsendi","Anolis_fraseri","Homalopsis_semizonata","Brachyorrhos_albus","","","","","","","","","",""
