"aic","logL","type","npar","nshifts","shiftnodes.1","shiftnodes.2","shiftnodes.3","shiftnodes.4","shiftnodes.5","shiftnodes.6","shiftnodes.7","shiftnodes.8","shiftnodes.9","shiftnodes.10","span.1","span.2","span.3","span.4","span.5","span.6","span.7","span.8","span.9","span.10","span.11","span.12","span.13","span.14","span.15","span.16","span.17","span.18","span.19","span.20"
"1",9041.95385456822,-15533.4149309779,"base",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"2",4514.3681825375,-13268.6220949625,"shift",3,1,6697,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","","","","","","","","","","","","","","","","","",""
"3",2855.26729031173,-12438.0716488496,"shift",4,2,6697,6695,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Gyalopion_quadrangulare","Acanthodactylus_khamirensis","","","","","","","","","","","","","","","",""
"4",1924.26713213312,-11971.5715697603,"shift",5,3,6697,6695,8081,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Gyalopion_quadrangulare","Acanthodactylus_khamirensis","Homalopsis_semizonata","Brachyorrhos_albus","","","","","","","","","","","","","",""
"5",1088.33246230747,-11552.6042348475,"shift",6,4,6697,6695,8081,9639,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Gyalopion_quadrangulare","Acanthodactylus_khamirensis","Homalopsis_semizonata","Brachyorrhos_albus","Gonocephalus_bornensis","Diporiphora_valens","","","","","","","","","","","",""
"6",478.354787794317,-11246.6153975909,"shift",7,5,6697,6695,8081,9639,8614,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Gyalopion_quadrangulare","Acanthodactylus_khamirensis","Homalopsis_semizonata","Brachyorrhos_albus","Gonocephalus_bornensis","Diporiphora_valens","Typhlops_sylleptor","Amerotyphlops_reticulatus","","","","","","","","","",""
"7",4286.43627464138,-13153.6561410145,"censored",4,1,6697,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","","","","","","","","","","","","","","","","","",""
"8",2486.58322692653,-12251.729617157,"censored",6,2,6697,9639,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Gonocephalus_bornensis","Diporiphora_valens","","","","","","","","","","","","","","","",""
"9",1407.03767003194,-11709.9568387097,"censored",8,3,6697,9639,8081,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Gonocephalus_bornensis","Diporiphora_valens","Homalopsis_semizonata","Brachyorrhos_albus","","","","","","","","","","","","","",""
"10",646.198283330115,-11327.5371453588,"censored",10,4,6697,9639,8614,8081,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Gonocephalus_bornensis","Diporiphora_valens","Typhlops_sylleptor","Amerotyphlops_reticulatus","Homalopsis_semizonata","Brachyorrhos_albus","","","","","","","","","","","",""
"11",0,-11002.4380036938,"censored",12,5,6697,10835,9639,8614,8081,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_howi","Aspidoscelis_laredoensis","Dicrodon_guttulatum","Gonocephalus_bornensis","Diporiphora_valens","Typhlops_sylleptor","Amerotyphlops_reticulatus","Homalopsis_semizonata","Brachyorrhos_albus","","","","","","","","","",""
