"sim","nvar","aic","logL","type","npar","nshifts","shiftnodes.1","shiftnodes.2","shiftnodes.3","shiftnodes.4","shiftnodes.5","shiftnodes.6","shiftnodes.7","shiftnodes.8","shiftnodes.9","shiftnodes.10","span.1","span.2","span.3","span.4","span.5","span.6","span.7","span.8","span.9","span.10","span.11","span.12","span.13","span.14","span.15","span.16","span.17","span.18","span.19","span.20"
"1",1,10,1059.82836453532,6467.85873242117,"base",65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"2",1,10,766.032804378072,6615.75651249979,"shift",66,1,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Chilabothrus_striatus","","","","","","","","","","","","","","","","","",""
"3",1,10,731.860763622082,6633.84253287778,"shift",67,2,276,506,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Chilabothrus_striatus","Chamaesaura_anguina","Lepidophyma_smithii","","","","","","","","","","","","","","","",""
"4",1,10,699.942388985643,6650.801720196,"shift",68,3,276,506,280,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Chilabothrus_striatus","Chamaesaura_anguina","Lepidophyma_smithii","Sonora_semiannulata","Bothrops_asper","","","","","","","","","","","","","",""
"5",1,10,671.116839817894,6666.21449477988,"shift",69,4,276,506,280,428,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Chilabothrus_striatus","Chamaesaura_anguina","Lepidophyma_smithii","Sonora_semiannulata","Bothrops_asper","Pogona_vitticeps","Physignathus_cocincinus","","","","","","","","","","","",""
"6",1,10,639.965776134075,6682.79002662179,"shift",70,5,276,506,280,428,530,NA,NA,NA,NA,NA,"Sonora_semiannulata","Chilabothrus_striatus","Chamaesaura_anguina","Lepidophyma_smithii","Sonora_semiannulata","Bothrops_asper","Pogona_vitticeps","Physignathus_cocincinus","Delma_borea","Saltuarius_cornutus","","","","","","","","","",""
"7",1,10,607.212836529199,6759.16649642423,"censored",130,1,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","","","","","","","","","","","","","","","","","",""
"8",1,10,301.465701048923,6977.04006416436,"censored",195,2,273,488,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Phoboscincus_bocourti","Eulamprus_quoyii","","","","","","","","","","","","","","","",""
"9",1,10,30.6916498248556,7177.4270897764,"censored",260,3,273,488,353,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Phoboscincus_bocourti","Eulamprus_quoyii","Chilabothrus_striatus","Lichanura_trivirgata","","","","","","","","","","","","","",""
"10",1,10,2.05663070185074,7256.7445993379,"censored",325,4,457,273,488,353,NA,NA,NA,NA,NA,NA,"Amphisbaena_alba","Rhineura_floridana","Sonora_semiannulata","Acutotyphlops_kunuaensis","Phoboscincus_bocourti","Eulamprus_quoyii","Chilabothrus_striatus","Lichanura_trivirgata","","","","","","","","","","","",""
"11",1,10,0,7322.77291468883,"censored",390,5,392,457,273,488,353,NA,NA,NA,NA,NA,"Liolaemus_bellii","Bronchocela_jubata","Amphisbaena_alba","Rhineura_floridana","Sonora_semiannulata","Acutotyphlops_kunuaensis","Phoboscincus_bocourti","Eulamprus_quoyii","Chilabothrus_striatus","Lichanura_trivirgata","","","","","","","","","",""
"12",2,10,1662.60560214655,6245.67812683877,"base",65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"13",2,10,1400.56255465894,6377.69965058258,"shift",66,1,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","","","","","","","","","","","","","","","","","",""
"14",2,10,1361.72138547964,6398.12023517223,"shift",67,2,273,350,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Chilabothrus_striatus","Liasis_mackloti","","","","","","","","","","","","","","","",""
"15",2,10,1322.20176763304,6418.88004409553,"shift",68,3,273,350,432,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Chilabothrus_striatus","Liasis_mackloti","Trioceros_hoehnelii","Chamaeleo_calyptratus","","","","","","","","","","","","","",""
"16",2,10,1280.45002889631,6440.75591346389,"shift",69,4,273,350,432,530,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Chilabothrus_striatus","Liasis_mackloti","Trioceros_hoehnelii","Chamaeleo_calyptratus","Delma_borea","Saltuarius_cornutus","","","","","","","","","","","",""
"17",2,10,1237.78195070547,6463.08995255931,"shift",70,5,273,350,432,530,435,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Chilabothrus_striatus","Liasis_mackloti","Trioceros_hoehnelii","Chamaeleo_calyptratus","Delma_borea","Saltuarius_cornutus","Gerrhonotus_infernalis","Varanus_salvator","","","","","","","","","",""
"18",2,10,1122.99556697183,6580.48314442613,"censored",130,1,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Procellosaurinus_tetradactylus","Bachia_bicolor","","","","","","","","","","","","","","","","","",""
"19",2,10,654.647440502778,6879.65720766066,"censored",195,2,472,459,NA,NA,NA,NA,NA,NA,NA,NA,"Procellosaurinus_tetradactylus","Bachia_bicolor","Amphisbaena_alba","Diplometopon_zarudnyi","","","","","","","","","","","","","","","",""
"20",2,10,318.423693987421,7112.76908091834,"censored",260,3,273,472,459,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Procellosaurinus_tetradactylus","Bachia_bicolor","Amphisbaena_alba","Diplometopon_zarudnyi","","","","","","","","","","","","","",""
"21",2,10,123.685706327371,7275.13807474836,"censored",325,4,273,472,459,326,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Procellosaurinus_tetradactylus","Bachia_bicolor","Amphisbaena_alba","Diplometopon_zarudnyi","Psammophis_sibilans","Boaedon_fuliginosus","","","","","","","","","","","",""
"22",2,10,0,7401.98092791205,"censored",390,5,435,273,472,459,326,NA,NA,NA,NA,NA,"Gerrhonotus_infernalis","Varanus_salvator","Sonora_semiannulata","Acutotyphlops_kunuaensis","Procellosaurinus_tetradactylus","Bachia_bicolor","Amphisbaena_alba","Diplometopon_zarudnyi","Psammophis_sibilans","Boaedon_fuliginosus","","","","","","","","","",""
"23",3,10,1677.23813065688,6331.42193931078,"base",65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"24",3,10,1320.34653019232,6510.86773954306,"shift",66,1,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Bothrops_asper","","","","","","","","","","","","","","","","","",""
"25",3,10,1223.14178427905,6560.4701124997,"shift",67,2,280,337,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Bothrops_asper","Bothrops_asper","Sistrurus_miliarius","","","","","","","","","","","","","","","",""
"26",3,10,1154.50397692787,6595.78901617528,"shift",68,3,280,337,273,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Bothrops_asper","Bothrops_asper","Sistrurus_miliarius","Sonora_semiannulata","Acutotyphlops_kunuaensis","","","","","","","","","","","","","",""
"27",3,10,1098.95340439202,6624.56430244321,"shift",69,4,280,337,273,530,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Bothrops_asper","Bothrops_asper","Sistrurus_miliarius","Sonora_semiannulata","Acutotyphlops_kunuaensis","Delma_borea","Saltuarius_cornutus","","","","","","","","","","","",""
"28",3,10,1050.71657211574,6649.68271858135,"shift",70,5,280,337,273,530,283,NA,NA,NA,NA,NA,"Sonora_semiannulata","Bothrops_asper","Bothrops_asper","Sistrurus_miliarius","Sonora_semiannulata","Acutotyphlops_kunuaensis","Delma_borea","Saltuarius_cornutus","Sonora_semiannulata","Arrhyton_taeniatum","","","","","","","","","",""
"29",3,10,1049.03662964378,6710.52268981733,"censored",130,1,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","","","","","","","","","","","","","","","","","",""
"30",3,10,761.168258708745,6919.45687528485,"censored",195,2,273,353,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Chilabothrus_striatus","Lichanura_trivirgata","","","","","","","","","","","","","","","",""
"31",3,10,481.676695681494,7124.20265679847,"censored",260,3,273,350,353,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Chilabothrus_striatus","Liasis_mackloti","Chilabothrus_striatus","Lichanura_trivirgata","","","","","","","","","","","","","",""
"32",3,10,234.318902665835,7312.8815533063,"censored",325,4,273,488,350,353,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Phoboscincus_bocourti","Eulamprus_quoyii","Chilabothrus_striatus","Liasis_mackloti","Chilabothrus_striatus","Lichanura_trivirgata","","","","","","","","","","","",""
"33",3,10,0,7495.04100463922,"censored",390,5,273,488,350,353,326,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Phoboscincus_bocourti","Eulamprus_quoyii","Chilabothrus_striatus","Liasis_mackloti","Chilabothrus_striatus","Lichanura_trivirgata","Psammophis_sibilans","Boaedon_fuliginosus","","","","","","","","","",""
"34",4,10,1119.8391886201,6421.96588727107,"base",65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"35",4,10,924.81001287103,6520.4804751456,"shift",66,1,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","","","","","","","","","","","","","","","","","",""
"36",4,10,857.455210952481,6555.15787610488,"shift",67,2,273,350,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Chilabothrus_striatus","Liasis_mackloti","","","","","","","","","","","","","","","",""
"37",4,10,803.223072603276,6583.27394527948,"shift",68,3,273,350,432,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Chilabothrus_striatus","Liasis_mackloti","Trioceros_hoehnelii","Chamaeleo_calyptratus","","","","","","","","","","","","","",""
"38",4,10,769.575422873075,6601.09777014458,"shift",69,4,273,350,432,413,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Chilabothrus_striatus","Liasis_mackloti","Trioceros_hoehnelii","Chamaeleo_calyptratus","Crotaphytus_collaris","Basiliscus_basiliscus","","","","","","","","","","","",""
