"aic","logL","type","npar","nshifts","shiftnodes.1","shiftnodes.2","shiftnodes.3","shiftnodes.4","shiftnodes.5","shiftnodes.6","shiftnodes.7","shiftnodes.8","shiftnodes.9","shiftnodes.10","span.1","span.2","span.3","span.4","span.5","span.6","span.7","span.8","span.9","span.10","span.11","span.12","span.13","span.14","span.15","span.16","span.17","span.18","span.19","span.20"
"1",2187.64409249393,768.436007209122,"base",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"2",1267.77068098733,1229.37271296242,"shift",3,1,2123,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_guentheri","","","","","","","","","","","","","","","","","",""
"3",1019.92827860261,1354.29391415478,"shift",4,2,2123,2954,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_guentheri","Liolaemus_fitzingerii","Sceloporus_malachiticus","","","","","","","","","","","","","","","",""
"4",868.15880019299,1431.17865335959,"shift",5,3,2123,2954,3355,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_guentheri","Liolaemus_fitzingerii","Sceloporus_malachiticus","Acanthodactylus_micropholis","Darevskia_chlorogaster","","","","","","","","","","","","","",""
"5",680.830833201668,1525.84263685525,"shift",6,4,2123,2954,3355,4055,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_guentheri","Liolaemus_fitzingerii","Sceloporus_malachiticus","Acanthodactylus_micropholis","Darevskia_chlorogaster","Pachydactylus_capensis","Phyllodactylus_tuberculosus","","","","","","","","","","","",""
"6",559.883799671102,1587.31615362054,"shift",7,5,2123,2954,3355,4055,3172,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_guentheri","Liolaemus_fitzingerii","Sceloporus_malachiticus","Acanthodactylus_micropholis","Darevskia_chlorogaster","Pachydactylus_capensis","Phyllodactylus_tuberculosus","Gonocephalus_semperi","Trioceros_hoehnelii","","","","","","","","","",""
"7",1257.27840295376,1235.61885197921,"censored",4,1,2123,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_guentheri","","","","","","","","","","","","","","","","","",""
"8",793.414819667813,1469.55064362218,"censored",6,2,4044,2123,NA,NA,NA,NA,NA,NA,NA,NA,"Lepidophyma_smithii","Cricosaura_typica","Gyalopion_quadrangulare","Anilios_guentheri","","","","","","","","","","","","","","","",""
"9",442.455246436171,1647.030430238,"censored",8,3,2953,4044,2123,NA,NA,NA,NA,NA,NA,NA,"Liolaemus_fitzingerii","Gonocephalus_semperi","Lepidophyma_smithii","Cricosaura_typica","Gyalopion_quadrangulare","Anilios_guentheri","","","","","","","","","","","","","",""
"10",195.588982388946,1772.46356226161,"censored",10,4,2953,4044,2123,4054,NA,NA,NA,NA,NA,NA,"Liolaemus_fitzingerii","Gonocephalus_semperi","Lepidophyma_smithii","Cricosaura_typica","Gyalopion_quadrangulare","Anilios_guentheri","Pachydactylus_capensis","Sphaerodactylus_macrolepis","","","","","","","","","","","",""
"11",0,1872.25805345609,"censored",12,5,2953,4044,2123,4054,3354,NA,NA,NA,NA,NA,"Liolaemus_fitzingerii","Gonocephalus_semperi","Lepidophyma_smithii","Cricosaura_typica","Gyalopion_quadrangulare","Anilios_guentheri","Pachydactylus_capensis","Sphaerodactylus_macrolepis","Acanthodactylus_micropholis","Gallotia_simonyi","","","","","","","","","",""
