"aic","logL","type","npar","nshifts","shiftnodes.1","shiftnodes.2","shiftnodes.3","shiftnodes.4","shiftnodes.5","shiftnodes.6","shiftnodes.7","shiftnodes.8","shiftnodes.9","shiftnodes.10","span.1","span.2","span.3","span.4","span.5","span.6","span.7","span.8","span.9","span.10","span.11","span.12","span.13","span.14","span.15","span.16","span.17","span.18","span.19","span.20"
"1",2147.43342227746,685.298101902082,"base",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"2",1270.33501040154,1124.84730784004,"shift",3,1,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_nigrescens","","","","","","","","","","","","","","","","","",""
"3",937.085016858893,1292.47230461137,"shift",4,2,1963,2700,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_nigrescens","Liolaemus_fitzingerii","Gonocephalus_semperi","","","","","","","","","","","","","","","",""
"4",755.670197998654,1384.17971404149,"shift",5,3,1963,2700,3763,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_nigrescens","Liolaemus_fitzingerii","Gonocephalus_semperi","Pachydactylus_capensis","Cyrtodactylus_aequalis","","","","","","","","","","","","","",""
"5",652.425652903506,1436.80198658906,"shift",6,4,1963,2700,3763,3295,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_nigrescens","Liolaemus_fitzingerii","Gonocephalus_semperi","Pachydactylus_capensis","Cyrtodactylus_aequalis","Carlia_fusca","Trachylepis_spilogaster","","","","","","","","","","","",""
"6",551.209560485819,1488.4100327979,"shift",7,5,1963,2700,3763,3295,3096,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_nigrescens","Liolaemus_fitzingerii","Gonocephalus_semperi","Pachydactylus_capensis","Cyrtodactylus_aequalis","Carlia_fusca","Trachylepis_spilogaster","Acanthodactylus_micropholis","Cercosaura_schreibersii","","","","","","","","","",""
"7",1260.3450898026,1130.84226813952,"censored",4,1,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_nigrescens","","","","","","","","","","","","","","","","","",""
"8",796.463773316846,1364.78292638239,"censored",6,2,3751,1963,NA,NA,NA,NA,NA,NA,NA,NA,"Lepidophyma_smithii","Cricosaura_typica","Gyalopion_quadrangulare","Anilios_nigrescens","","","","","","","","","","","","","","","",""
"9",444.016524961251,1543.00655056019,"censored",8,3,2700,3751,1963,NA,NA,NA,NA,NA,NA,NA,"Liolaemus_fitzingerii","Gonocephalus_semperi","Lepidophyma_smithii","Cricosaura_typica","Gyalopion_quadrangulare","Anilios_nigrescens","","","","","","","","","","","","","",""
"10",194.7790406331,1669.62529272426,"censored",10,4,2700,3751,1963,3761,NA,NA,NA,NA,NA,NA,"Liolaemus_fitzingerii","Gonocephalus_semperi","Lepidophyma_smithii","Cricosaura_typica","Gyalopion_quadrangulare","Anilios_nigrescens","Pachydactylus_capensis","Sphaerodactylus_macrolepis","","","","","","","","","","","",""
"11",0,1769.01481304081,"censored",12,5,2700,3751,1963,3761,3098,NA,NA,NA,NA,NA,"Liolaemus_fitzingerii","Gonocephalus_semperi","Lepidophyma_smithii","Cricosaura_typica","Gyalopion_quadrangulare","Anilios_nigrescens","Pachydactylus_capensis","Sphaerodactylus_macrolepis","Acanthodactylus_micropholis","Gallotia_simonyi","","","","","","","","","",""
